iter	Passed	Remaining
150	482	2712
151	485	2706
152	487	2700
153	490	2695
154	493	2690
155	496	2685
156	498	2679
157	501	2673
158	504	2667
159	506	2661
160	509	2656
161	512	2651
162	515	2645
163	516	2633
164	519	2628
165	522	2622
166	524	2618
167	527	2613
168	530	2607
169	532	2601
170	535	2596
171	538	2591
172	542	2591
173	544	2583
174	547	2579
175	550	2576
176	553	2572
177	556	2569
178	560	2569
179	563	2568
180	566	2564
181	569	2561
182	572	2556
183	574	2548
184	577	2545
185	581	2544
186	585	2544
187	589	2544
188	592	2543
189	596	2541
190	599	2537
191	602	2534
192	605	2530
193	606	2520
194	609	2516
195	612	2513
196	615	2509
197	618	2505
198	621	2502
199	624	2497
200	627	2492
201	629	2488
202	632	2483
203	635	2479
204	638	2474
205	640	2470
206	642	2460
207	645	2456
208	648	2452
209	650	2448
210	653	2443
211	656	2440
212	659	2436
213	662	2434
214	666	2432
215	669	2429
216	672	2426
217	675	2423
218	678	2419
219	681	2416
220	684	2412
221	687	2409
222	690	2406
223	693	2402
224	696	2399
225	699	2396
226	702	2392
227	705	2389
228	708	2386
229	711	2382
230	714	2378
231	717	2375
232	720	2372
233	723	2369
234	726	2364
235	729	2361
236	732	2358
237	736	2356
238	739	2355
239	743	2354
240	747	2353
241	750	2352
242	754	2351
243	758	2349
244	762	2349
245	766	2349
246	770	2347
247	773	2345
248	777	2344
249	781	2343
250	784	2341
251	789	2342
252	793	2341
253	798	2344
254	801	2342
255	804	2339
256	808	2336
257	811	2332
258	814	2329
259	817	2326
260	820	2322
261	823	2318
262	826	2314
263	829	2312
264	832	2308
265	835	2305
266	838	2301
267	841	2298
268	844	2294
269	847	2291
270	850	2287
271	853	2284
272	856	2280
273	859	2277
274	862	2273
275	865	2270
276	869	2268
277	873	2268
278	877	2267
279	881	2266
280	885	2265
281	889	2264
282	893	2263
283	897	2262
284	901	2261
285	905	2261
286	910	2261
287	914	2260
288	918	2260
289	923	2260
290	928	2261
291	933	2264
292	938	2263
293	942	2262
294	946	2261
295	949	2259
296	953	2256
297	956	2252
298	959	2249
299	962	2246
300	966	2244
301	970	2243
302	974	2241
303	978	2240
304	982	2237
305	985	2235
306	989	2234
307	994	2233
308	998	2231
309	1001	2230
310	1005	2227
311	1009	2225
312	1012	2221
313	1015	2217
314	1018	2213
315	1019	2205
316	1021	2201
317	1025	2198
318	1028	2195
319	1031	2192
320	1035	2189
321	1039	2188
322	1043	2186
323	1047	2185
324	1050	2182
325	1054	2179
326	1057	2176
327	1060	2172
328	1063	2168
329	1066	2164
330	1069	2160
331	1072	2157
332	1074	2153
333	1077	2149
334	1080	2145
335	1083	2141
336	1086	2137
337	1089	2134
338	1092	2130
339	1095	2126
340	1098	2123
341	1101	2120
342	1105	2116
343	1108	2113
344	1111	2110
345	1114	2105
346	1116	2101
347	1119	2097
348	1122	2093
349	1125	2089
350	1127	2085
351	1131	2082
352	1134	2079
353	1137	2075
354	1140	2071
355	1143	2068
356	1146	2065
357	1149	2061
358	1153	2059
359	1156	2056
360	1160	2054
361	1163	2050
362	1166	2047
363	1169	2043
364	1171	2038
365	1174	2034
366	1177	2031
367	1180	2027
368	1183	2024
369	1187	2021
370	1190	2017
371	1193	2015
372	1197	2012
373	1199	2007
374	1202	2004
375	1205	2001
376	1208	1997
377	1211	1993
378	1214	1990
379	1217	1986
380	1220	1983
381	1223	1979
382	1226	1975
383	1229	1971
384	1231	1967
385	1233	1962
386	1236	1958
387	1239	1955
388	1242	1951
389	1245	1948
390	1248	1944
391	1251	1940
392	1253	1935
393	1256	1932
394	1258	1928
395	1261	1924
396	1265	1921
397	1268	1917
398	1270	1914
399	1273	1910
400	1277	1907
401	1280	1904
402	1282	1900
403	1285	1896
404	1288	1893
405	1292	1890
406	1295	1888
407	1299	1885
408	1303	1883
409	1307	1881
410	1311	1879
411	1315	1877
412	1319	1875
413	1324	1874
414	1328	1872
415	1332	1870
416	1336	1868
417	1339	1865
418	1342	1861
419	1345	1858
420	1349	1855
421	1352	1852
422	1356	1850
423	1360	1848
424	1365	1846
425	1369	1844
426	1373	1842
427	1376	1840
428	1380	1837
429	1383	1834
430	1387	1831
431	1390	1828
432	1393	1825
433	1397	1822
434	1400	1819
435	1404	1816
436	1407	1813
437	1411	1810
438	1414	1807
439	1417	1804
440	1421	1801
441	1423	1797
442	1427	1794
443	1431	1792
444	1436	1791
445	1440	1789
446	1444	1787
447	1447	1783
448	1450	1780
449	1453	1776
450	1456	1773
451	1459	1769
452	1462	1766
453	1465	1762
454	1468	1758
455	1471	1755
456	1474	1751
457	1477	1748
458	1480	1744
459	1483	1741
460	1486	1738
461	1489	1734
462	1492	1731
463	1495	1727
464	1498	1724
465	1501	1721
466	1504	1717
467	1507	1713
468	1510	1710
469	1513	1706
470	1516	1703
471	1520	1701
472	1524	1698
473	1527	1695
474	1530	1691
475	1533	1688
476	1536	1685
477	1539	1681
478	1542	1677
479	1545	1674
480	1549	1671
481	1553	1669
482	1557	1667
483	1561	1664
484	1564	1661
485	1568	1658
486	1570	1654
487	1573	1651
488	1576	1647
489	1579	1644
490	1583	1641
491	1586	1637
492	1589	1634
493	1592	1631
494	1596	1628
495	1599	1625
496	1603	1622
497	1606	1619
498	1610	1617
499	1615	1615
500	1620	1613
501	1624	1611
502	1628	1609
503	1632	1606
504	1636	1604
505	1640	1602
506	1644	1599
507	1648	1596
508	1653	1594
509	1657	1592
510	1661	1589
511	1665	1587
512	1670	1585
513	1674	1582
514	1678	1580
515	1682	1577
516	1686	1575
517	1690	1572
518	1694	1570
519	1698	1567
520	1702	1564
521	1705	1562
522	1710	1559
523	1714	1557
524	1718	1555
525	1722	1552
526	1725	1548
527	1729	1545
528	1732	1542
529	1736	1539
530	1739	1536
531	1742	1533
532	1746	1530
533	1748	1525
534	1751	1522
535	1756	1520
536	1760	1517
537	1764	1515
538	1768	1512
539	1771	1509
540	1775	1506
541	1779	1503
542	1782	1500
543	1785	1496
544	1788	1492
545	1791	1489
546	1794	1485
547	1796	1482
548	1800	1478
549	1802	1474
550	1805	1471
551	1808	1467
552	1811	1464
553	1814	1460
554	1817	1457
555	1821	1454
556	1824	1450
557	1827	1447
558	1830	1444
559	1834	1441
560	1837	1438
561	1841	1435
562	1845	1432
563	1850	1430
564	1854	1427
565	1858	1424
566	1862	1422
567	1866	1419
568	1870	1416
569	1873	1413
570	1877	1410
571	1880	1406
572	1883	1403
573	1886	1399
574	1889	1396
575	1892	1393
576	1895	1389
577	1898	1385
578	1900	1382
579	1903	1378
580	1905	1374
581	1909	1371
582	1913	1368
583	1915	1364
584	1918	1361
585	1921	1357
586	1925	1354
587	1928	1351
588	1931	1347
589	1935	1344
590	1938	1341
591	1942	1338
592	1945	1335
593	1949	1332
594	1953	1329
595	1956	1326
596	1959	1322
597	1962	1319
598	1965	1316
599	1968	1312
600	1971	1309
601	1975	1305
602	1978	1302
603	1981	1299
604	1984	1295
605	1987	1291
606	1990	1288
607	1993	1285
608	1996	1281
609	1999	1278
610	2002	1274
611	2005	1271
612	2008	1268
613	2012	1265
614	2015	1261
615	2018	1258
616	2021	1254
617	2027	1252
618	2030	1249
619	2033	1246
620	2036	1242
621	2039	1239
622	2042	1236
623	2045	1232
624	2048	1228
625	2051	1225
626	2054	1222
627	2057	1218
628	2060	1215
629	2063	1211
630	2066	1208
631	2068	1204
632	2071	1201
633	2074	1197
634	2077	1194
635	2080	1190
636	2083	1187
637	2084	1182
638	2087	1179
639	2090	1175
640	2093	1172
641	2095	1168
642	2098	1165
643	2102	1161
644	2105	1158
645	2108	1155
646	2112	1152
647	2113	1147
648	2116	1144
649	2120	1141
650	2123	1138
651	2126	1135
652	2130	1132
653	2132	1128
654	2136	1125
655	2139	1122
656	2143	1119
657	2147	1116
658	2151	1113
659	2154	1109
660	2156	1106
661	2159	1102
662	2162	1099
663	2165	1095
664	2168	1092
665	2171	1089
666	2174	1085
667	2178	1082
668	2180	1079
669	2183	1075
670	2187	1072
671	2189	1068
672	2193	1065
673	2196	1062
674	2199	1059
675	2202	1055
676	2205	1052
677	2208	1048
678	2211	1045
679	2214	1041
680	2217	1038
681	2220	1035
682	2223	1031
683	2226	1028
684	2229	1025
685	2232	1021
686	2235	1018
687	2238	1015
688	2241	1011
689	2244	1008
690	2247	1005
691	2251	1001
692	2254	998
693	2257	995
694	2261	992
695	2265	989
696	2269	986
697	2273	983
698	2285	983
699	2295	983
700	2308	984
701	2316	983
702	2326	982
703	2334	981
704	2339	978
705	2342	975
706	2346	972
707	2350	969
708	2353	966
709	2357	963
710	2361	959
711	2365	956
712	2368	953
713	2372	950
714	2376	947
715	2379	943
716	2383	940
717	2388	937
718	2393	935
719	2396	932
720	2400	928
721	2404	925
722	2408	922
723	2413	919
724	2417	916
725	2421	913
726	2425	910
727	2429	907
728	2434	905
729	2439	902
730	2444	899
731	2449	896
732	2453	893
733	2458	890
734	2461	887
735	2465	884
736	2469	881
737	2473	878
738	2478	875
739	2481	871
740	2485	868
741	2489	865
742	2492	862
743	2495	858
744	2498	855
745	2501	851
746	2505	848
747	2508	845
748	2511	841
749	2514	838
750	2518	834
751	2521	831
752	2524	828
753	2528	824
754	2531	821
755	2535	818
756	2539	815
757	2542	811
758	2545	808
759	2548	804
760	2551	801
761	2555	798
762	2558	794
763	2562	791
764	2565	788
765	2569	784
766	2572	781
767	2575	778
768	2579	774
769	2582	771
770	2585	767
771	2588	764
772	2591	761
773	2594	757
774	2598	754
775	2601	750
776	2604	747
777	2607	744
778	2611	740
779	2614	737
780	2618	734
781	2622	730
782	2626	727
783	2630	724
784	2633	721
785	2637	717
786	2640	714
787	2643	711
788	2646	707
789	2649	704
790	2651	700
791	2655	697
792	2657	693
793	2660	690
794	2663	686
795	2666	683
796	2669	680
797	2673	676
798	2675	673
799	2679	669
800	2682	666
801	2685	663
802	2689	659
803	2693	656
804	2696	653
805	2700	649
806	2703	646
807	2707	643
808	2710	639
809	2714	636
810	2718	633
811	2721	630
812	2724	626
813	2728	623
814	2732	620
815	2736	617
816	2740	613
817	2742	610
818	2746	606
819	2749	603
820	2752	600
821	2754	596
822	2757	593
823	2760	589
824	2763	586
825	2766	582
826	2769	579
827	2772	575
828	2775	572
829	2778	569
830	2781	565
831	2784	562
832	2787	558
833	2790	555
834	2794	552
835	2797	548
836	2800	545
837	2804	542
838	2807	538
839	2811	535
840	2814	532
841	2818	528
842	2822	525
843	2825	522
844	2829	518
845	2832	515
846	2836	512
847	2840	509
848	2843	505
849	2847	502
850	2850	499
851	2854	495
852	2857	492
853	2860	489
854	2864	485
855	2867	482
856	2871	479
857	2874	475
858	2877	472
859	2881	469
860	2884	465
861	2888	462
862	2889	458
863	2893	455
864	2896	452
865	2900	448
866	2903	445
867	2907	442
868	2911	438
869	2915	435
870	2918	432
871	2922	428
872	2926	425
873	2929	422
874	2933	419
875	2936	415
876	2940	412
877	2944	409
878	2947	405
879	2951	402
880	2954	399
881	2958	395
882	2962	392
883	2966	389
884	2970	385
885	2973	382
886	2977	379
887	2980	375
888	2984	372
889	2987	369
890	2990	365
891	2993	362
892	2997	359
893	3000	355
894	3003	352
895	3006	349
896	3010	345
897	3013	342
898	3016	338
899	3019	335
900	3023	332
901	3026	328
902	3029	325
903	3032	322
904	3036	318
905	3039	315
906	3042	311
907	3046	308
908	3049	305
909	3052	301
910	3055	298
911	3058	295
912	3062	291
913	3064	288
914	3067	284
915	3070	281
916	3073	278
917	3077	274
918	3081	271
919	3085	268
920	3088	264
921	3092	261
922	3096	258
923	3100	255
924	3104	251
925	3108	248
926	3112	245
927	3116	241
928	3120	238
929	3124	235
930	3129	231
931	3133	228
932	3137	225
933	3139	221
934	3143	218
935	3147	215
936	3151	211
937	3155	208
938	3159	205
939	3163	201
940	3167	198
941	3170	195
942	3174	191
943	3178	188
944	3182	185
945	3185	181
946	3190	178
947	3193	175
948	3198	171
949	3202	168
950	3206	165
951	3210	161
952	3215	158
953	3219	155
954	3224	151
955	3228	148
956	3232	145
957	3236	141
958	3240	138
959	3242	135
960	3246	131
961	3250	128
962	3254	125
963	3258	121
964	3261	118
965	3265	114
966	3270	111
967	3275	108
968	3280	104
969	3284	101
970	3288	98
971	3291	94
972	3295	91
973	3298	88
974	3302	84
975	3306	81
976	3308	77
977	3312	74
978	3316	71
979	3319	67
980	3323	64
981	3326	60
982	3330	57
983	3334	54
984	3339	50
985	3343	47
986	3347	44
987	3351	40
988	3355	37
989	3360	33
990	3365	30
991	3369	27
992	3373	23
993	3377	20
994	3381	16
995	3385	13
996	3389	10
997	3392	6
998	3395	3
999	3398	0
