iter	Logloss
0	0.6908662633
1	0.6884438295
2	0.6862545497
3	0.6839418926
4	0.6817607417
5	0.6795791674
6	0.6772585108
7	0.6749831942
8	0.6729813091
9	0.6710603459
10	0.6688497453
11	0.666837522
12	0.6643687022
13	0.662083388
14	0.6597295516
15	0.6576655601
16	0.6555165057
17	0.6533671929
18	0.6516311995
19	0.6495029441
20	0.6477238109
21	0.6459227495
22	0.6442711332
23	0.6425167688
24	0.6403662027
25	0.638474112
26	0.6363451477
27	0.6346170212
28	0.6329667426
29	0.6313115839
30	0.6289601466
31	0.6274302087
32	0.6257483712
33	0.6240823269
34	0.6226017875
35	0.6211183707
36	0.6194386668
37	0.618021419
38	0.616597898
39	0.6151333533
40	0.6132420504
41	0.6118731831
42	0.6103458436
43	0.6087417299
44	0.6071197941
45	0.6058806923
46	0.604620884
47	0.6032947536
48	0.601888982
49	0.6006020634
50	0.599284354
51	0.5977883918
52	0.5962714758
53	0.5950057663
54	0.5937388776
55	0.5926506701
56	0.5915167702
57	0.5901747557
58	0.5885715255
59	0.5873064018
60	0.5861101031
61	0.5851519944
62	0.5839363153
63	0.5822982428
64	0.5813319907
65	0.5802488026
66	0.5791194669
67	0.5779063827
68	0.5769635085
69	0.5759701313
70	0.5747477515
71	0.5736835614
72	0.5726779064
73	0.5717314342
74	0.570662845
75	0.5692859726
76	0.5680191956
77	0.5670867042
78	0.5660610772
79	0.5649437877
80	0.564008374
81	0.563027047
82	0.5620088059
83	0.5610568678
84	0.5600306003
85	0.5589134537
86	0.5579114312
87	0.5571240076
88	0.5562442821
89	0.5553556852
90	0.5544324665
91	0.5535869361
92	0.5528770997
93	0.5520661522
94	0.551164987
95	0.5503189822
96	0.5495491948
97	0.54854521
98	0.5477288945
99	0.5467268707
100	0.5459871579
101	0.545379257
102	0.5447831261
103	0.5441896668
104	0.5434733888
105	0.542574771
106	0.5419118464
107	0.5411542052
108	0.5404535348
109	0.5397490792
110	0.5390426629
111	0.5383644531
112	0.537295221
113	0.5366015262
114	0.5359912322
115	0.5354378575
116	0.5347664388
117	0.5340739821
118	0.5335120028
119	0.532812584
120	0.5320096974
121	0.5313652308
122	0.5305960263
123	0.5300567944
124	0.5294466603
125	0.5289898716
126	0.528429005
127	0.5276739954
128	0.5271670474
129	0.5264422434
130	0.5258547906
131	0.5251515672
132	0.5247438887
133	0.5239847362
134	0.5231953305
135	0.5227870114
136	0.5223673945
137	0.521976278
138	0.5214915573
139	0.5209364425
140	0.5202035881
141	0.5197606233
142	0.5191306016
143	0.5182935071
144	0.517707527
145	0.517243278
146	0.516744833
147	0.5164394658
148	0.5156509707
149	0.5149876501
150	0.5144275557
151	0.5140573093
152	0.5133833083
153	0.5128796523
154	0.5124323475
155	0.5118917043
156	0.5114417212
157	0.5110198817
158	0.5104984089
159	0.5100159744
160	0.5096303564
161	0.5091842445
162	0.5084738426
163	0.5082226538
164	0.5077540318
165	0.5069912115
166	0.5063671274
167	0.5059177775
168	0.5055226984
169	0.504874534
170	0.5044364985
171	0.5040887393
172	0.5034693941
173	0.5031146886
174	0.5027962117
175	0.50227952
176	0.5019763593
177	0.5014522257
178	0.5010979733
179	0.5005884958
180	0.4999857553
181	0.4996105104
182	0.4990814867
183	0.4987745421
184	0.498493286
185	0.4979807694
186	0.4975739723
187	0.4972349735
188	0.4968890027
189	0.496594926
190	0.4961542693
191	0.4956411147
192	0.4951226413
193	0.4948945049
194	0.4944722255
195	0.4939600103
196	0.4935706458
197	0.4928496461
198	0.492544375
199	0.4920291274
200	0.4917705306
201	0.49123573
202	0.4907220994
203	0.4901899249
204	0.4896818893
205	0.4892704816
206	0.4890323028
207	0.4888174262
208	0.4884028631
209	0.4880830136
210	0.4874633914
211	0.4870809904
212	0.4866479811
213	0.4863702767
214	0.4858205148
215	0.4855487084
216	0.485144468
217	0.4846543491
218	0.4843349942
219	0.4840856132
220	0.48386021
221	0.4835741807
222	0.4831644391
223	0.4829711962
224	0.4825261933
225	0.481902808
226	0.4816436861
227	0.4814251645
228	0.481217717
229	0.4807963472
230	0.4802592818
231	0.479764681
232	0.479503502
233	0.4792496604
234	0.4788795011
235	0.4786510492
236	0.4781902726
237	0.4776034151
238	0.4773842595
239	0.4771396098
240	0.4769555891
241	0.4766262732
242	0.476206526
243	0.4759117479
244	0.4755405713
245	0.4752640236
246	0.4749827498
247	0.474733303
248	0.4743904175
249	0.4740167309
250	0.4738811142
251	0.4734593157
252	0.4731520413
253	0.4729098305
254	0.4726148552
255	0.472230592
256	0.4717948321
257	0.4715420588
258	0.4711407599
259	0.4707808625
260	0.4702493956
261	0.4698932021
262	0.4693593644
263	0.4692175696
264	0.4688507028
265	0.468506345
266	0.4682297955
267	0.4678957599
268	0.4675015258
269	0.4669647526
270	0.4668315903
271	0.4665733659
272	0.4662650752
273	0.4659496674
274	0.4656707608
275	0.4652610322
276	0.4646869716
277	0.4643845193
278	0.4640046103
279	0.4637512817
280	0.4634719437
281	0.4631227502
282	0.4628250601
283	0.4624423539
284	0.462025928
285	0.4617084676
286	0.4614951564
287	0.4609569579
288	0.460597132
289	0.4602769386
290	0.4599723753
291	0.4595152986
292	0.4592907167
293	0.4591667622
294	0.4587756688
295	0.458444169
296	0.4581641633
297	0.4579023613
298	0.4576634252
299	0.4575075975
300	0.4572448345
301	0.4569579391
302	0.4567420724
303	0.4564026695
304	0.4560553043
305	0.4558470697
306	0.4557732702
307	0.4554107982
308	0.4551406159
309	0.4548521199
310	0.4546791934
311	0.454335377
312	0.4541770087
313	0.4538285102
314	0.4532490547
315	0.4532225049
316	0.4530303257
317	0.4528344361
318	0.4524601239
319	0.4523150961
320	0.4519587929
321	0.4517612442
322	0.4513492098
323	0.4509743909
324	0.4508099194
325	0.4506258137
326	0.4504381624
327	0.4499350722
328	0.449763526
329	0.4495193444
330	0.4493141695
331	0.4491849521
332	0.4489516154
333	0.4486048501
334	0.4483349114
335	0.4477071573
336	0.4474114274
337	0.447104734
338	0.4468673427
339	0.4464165982
340	0.4460526882
341	0.4458879125
342	0.4456984234
343	0.445160505
344	0.4447937698
345	0.4446679963
346	0.4442816641
347	0.4439492328
348	0.4436951483
349	0.44318805
350	0.4428135056
351	0.4424734383
352	0.4421327531
353	0.441907652
354	0.4416321003
355	0.4413231836
356	0.4411130294
357	0.440986199
358	0.4407601891
359	0.4404786047
360	0.4401951166
361	0.4398268022
362	0.4396706467
363	0.4393091331
364	0.4391713584
365	0.4389095111
366	0.4387304772
367	0.4384618814
368	0.4383188529
369	0.4380860075
370	0.4378696068
371	0.4377413691
372	0.4375348803
373	0.4374277614
374	0.4373380696
375	0.4370018606
376	0.4368032815
377	0.4366759582
378	0.4363583271
379	0.4360087208
380	0.4355893109
381	0.4354569342
382	0.4353419649
383	0.435139061
384	0.4350582891
385	0.4349735812
386	0.4347370435
387	0.4345173059
388	0.4342380159
389	0.4339477627
390	0.4337567336
391	0.4335492335
392	0.4334509554
393	0.4331760636
394	0.4328546605
395	0.4326596754
396	0.4324845409
397	0.4321541668
398	0.4318629176
399	0.4316943926
400	0.4315442286
401	0.4311328694
402	0.4307879382
403	0.4304656218
404	0.4302037834
405	0.4300733309
406	0.4298890638
407	0.4296933374
408	0.4294188001
409	0.4291772132
410	0.4289480493
411	0.4287961053
412	0.428618094
413	0.4283202754
414	0.42811602
415	0.4278527348
416	0.4276867458
417	0.4275840339
418	0.42742439
419	0.4272725946
420	0.4269990606
421	0.4268488941
422	0.4265816488
423	0.4263622857
424	0.4258944507
425	0.4256693706
426	0.4253931691
427	0.4252692392
428	0.4251327926
429	0.4249438139
430	0.4248023067
431	0.4246363667
432	0.4244913707
433	0.4241522324
434	0.4239291018
435	0.4237329868
436	0.4234269805
437	0.4232038299
438	0.4231206944
439	0.4229591545
440	0.4228156593
441	0.422782408
442	0.4225052441
443	0.4222934077
444	0.4221292281
445	0.4219320953
446	0.4218146686
447	0.4216347505
448	0.4212532816
449	0.4210119343
450	0.420763632
451	0.4204932106
452	0.4202867278
453	0.4201513175
454	0.4200188655
455	0.4196887582
456	0.4195876091
457	0.4192663838
458	0.4191383132
459	0.4188468224
460	0.4186563395
461	0.4184743099
462	0.4181455023
463	0.4179068092
464	0.4176677338
465	0.4174579545
466	0.417092756
467	0.4170084071
468	0.4168843269
469	0.4164300297
470	0.4161601922
471	0.4159006114
472	0.4157879102
473	0.4156708017
474	0.415523844
475	0.4152805711
476	0.4150375817
477	0.4148984086
478	0.4146812981
479	0.4145750891
480	0.414293762
481	0.4138124669
482	0.4136743926
483	0.4135802496
484	0.4133116729
485	0.4131848966
486	0.4130743986
487	0.4129391275
488	0.4127065856
489	0.4125171413
490	0.4123030074
491	0.412035147
492	0.4119701562
493	0.4118265837
494	0.4115374271
495	0.4114966679
496	0.4113715093
497	0.4111268319
498	0.4108245066
499	0.4106068675
500	0.4102453676
501	0.4099876405
502	0.4098627685
503	0.4095929012
504	0.4095113606
505	0.409256737
506	0.4091168909
507	0.4086429577
508	0.4084549909
509	0.4081897842
510	0.408107231
511	0.407951502
512	0.4076509636
513	0.4073946265
514	0.4069122875
515	0.4068188261
516	0.4066065854
517	0.4064951313
518	0.4062535806
519	0.4059012314
520	0.4056162187
521	0.4055255171
522	0.4053798128
523	0.405142187
524	0.4049548587
525	0.4048127861
526	0.4046511572
527	0.4044886638
528	0.4043774773
529	0.4041919366
530	0.4040539805
