Timestamp,Event
1714024082.2265432,cooldown
1714024087.2269428,cls
1714024093.1377237,cooldown
1714024098.138557,cls
1714024104.0584786,cooldown
1714024109.0587583,pop
1714024114.877596,cooldown
1714024119.8787768,pop
1714024126.6574345,cooldown
1714024131.6587148,edm
1714024138.8882825,cooldown
1714024143.888707,rap
1714024150.7784274,cooldown
1714024155.778575,pop
1714024161.597699,cooldown
1714024166.5986037,rap
1714024176.77773,cooldown
1714024181.7786834,edm
1714024187.927718,cooldown
1714024192.9287484,cls
1714024202.3276045,cooldown
1714024207.3287473,edm
1714024214.5583541,cooldown
1714024219.5589125,pop
1714024227.217679,cooldown
1714024232.2185316,pop
1714024239.8775854,cooldown
1714024244.878613,edm
1714024252.1083698,cooldown
1714024257.1088128,pop
1714024264.7783103,cooldown
1714024269.7788603,edm
