Timestamp,Event
1714023554.566004,cooldown
1714023559.5663064,rap
1714023568.0395699,cooldown
1714023573.0397537,pop
1714023579.8100212,cooldown
1714023584.8111115,pop
1714023592.470172,cooldown
1714023597.4707875,cls
1714023606.6292245,cooldown
1714023611.6302178,rap
1714023618.5099585,cooldown
1714023623.5103009,rap
1714023631.9995008,cooldown
1714023637.0000756,edm
1714023644.2295597,cooldown
1714023649.229868,cls
1714023655.1500237,cooldown
1714023660.1501799,pop
1714023666.9198768,cooldown
1714023671.920103,edm
1714023679.149095,cooldown
1714023684.1498668,rap
1714023694.3290951,cooldown
1714023699.3300803,cls
1714023705.2490351,cooldown
1714023710.250351,edm
1714023716.3997588,cooldown
1714023721.4004345,cls
1714023727.3197572,cooldown
1714023732.3203526,edm
1714023738.4796557,cooldown
1714023743.480198,rap
