Timestamp,Event
1714027054.0900187,cooldown
1714027059.0903401,cls
1714027065.0109782,cooldown
1714027070.0111742,rap
1714027078.499667,cooldown
1714027083.5005941,cls
1714027092.6608226,cooldown
1714027097.6615958,pop
1714027103.470537,cooldown
1714027108.4706652,pop
1714027116.1296933,cooldown
1714027121.1307278,pop
1714027128.790713,cooldown
1714027133.7909737,edm
1714027139.93968,cooldown
1714027144.9408126,edm
1714027151.0907004,cooldown
1714027156.090863,pop
1714027162.8708482,cooldown
1714027167.8712487,rap
1714027176.3608735,cooldown
1714027181.3610613,rap
1714027189.8496935,cooldown
1714027194.8505592,edm
1714027201.0108993,cooldown
1714027206.0112092,rap
1714027216.1899233,cooldown
1714027221.191101,pop
1714027228.849956,cooldown
1714027233.850759,edm
1714027241.4997065,cooldown
1714027246.5009036,pop
