Timestamp,Event
1714024491.1585367,cooldown
1714024496.158885,edm
1714024503.7959146,cooldown
1714024508.796594,cls
1714024517.9561954,cooldown
1714024522.9567587,edm
1714024529.1060438,cooldown
1714024534.1068385,rap
1714024544.2856352,cooldown
1714024549.2865942,edm
1714024555.4453151,cooldown
1714024560.446073,pop
1714024568.1065292,cooldown
1714024573.1067307,cls
1714024582.4954731,cooldown
1714024587.496475,cls
1714024596.8862393,cooldown
1714024601.886642,rap
1714024608.7664704,cooldown
1714024613.7669353,rap
1714024623.936381,cooldown
1714024628.936784,pop
1714024635.7154026,cooldown
1714024640.716447,edm
1714024646.866216,cooldown
1714024651.8664992,edm
1714024659.095331,cooldown
1714024664.0965023,rap
1714024672.5763464,cooldown
1714024677.577028,cls
