Timestamp,Event
1714026298.0514042,cooldown
1714026303.051784,rap
1714026309.9335117,cooldown
1714026314.9339147,cls
1714026324.093418,cooldown
1714026329.0943406,rap
1714026335.972432,cooldown
1714026340.973558,edm
1714026348.613457,cooldown
1714026353.6136715,rap
1714026363.7931163,cooldown
1714026368.7933986,edm
1714026374.9436543,cooldown
1714026379.9442542,edm
1714026386.0934162,cooldown
1714026391.0937102,cls
1714026400.2438784,cooldown
1714026405.2445714,pop
1714026412.0128806,cooldown
1714026417.0142045,pop
1714026424.6727352,cooldown
1714026429.6737463,cls
1714026435.5828834,cooldown
1714026440.5837831,rap
1714026450.7632487,cooldown
1714026455.7640781,rap
1714026464.2537498,cooldown
1714026469.2540715,rap
1714026476.1437225,cooldown
1714026481.143893,edm
1714026487.2937276,cooldown
1714026492.2944226,edm
