Timestamp,Event
1714026081.6816397,cooldown
1714026086.6825228,pop
1714026092.4903383,cooldown
1714026097.4908469,rap
1714026107.6696882,cooldown
1714026112.670734,cls
1714026118.5907114,cooldown
1714026123.5912366,rap
1714026130.4797456,cooldown
1714026135.4809222,cls
1714026144.6396937,cooldown
1714026149.6407332,cls
1714026155.5502207,cooldown
1714026160.5503864,pop
1714026166.3596263,cooldown
1714026171.3608193,cls
1714026180.7494678,cooldown
1714026185.750273,cls
1714026194.9103343,cooldown
1714026199.910674,cls
1714026205.829411,cooldown
1714026210.830865,rap
1714026221.0103836,cooldown
1714026226.0109315,edm
1714026232.1613517,cooldown
1714026237.1617646,edm
1714026244.390666,cooldown
1714026249.3911078,rap
1714026256.2703133,cooldown
1714026261.2704396,rap
1714026271.4401124,cooldown
1714026276.4403684,cls
