Timestamp,Event
1714024292.170807,cooldown
1714024297.1710422,pop
1714024304.8279326,cooldown
1714024309.8291051,edm
1714024315.9785814,cooldown
1714024320.9790344,cls
1714024326.898303,cooldown
1714024331.8988242,pop
1714024338.67872,cooldown
1714024343.6793013,pop
1714024351.3377652,cooldown
1714024356.3391035,cls
1714024362.2585187,cooldown
1714024367.2590318,cls
1714024376.408636,cooldown
1714024381.4090648,edm
1714024387.557686,cooldown
1714024392.5588467,pop
1714024400.2280383,cooldown
1714024405.2291682,edm
1714024412.4588416,cooldown
1714024417.4590936,cls
1714024426.6085863,cooldown
1714024431.609051,cls
1714024440.997654,cooldown
1714024445.9986267,rap
1714024456.169064,cooldown
1714024461.1693337,rap
1714024468.0487835,cooldown
1714024473.0489845,rap
