Timestamp,Event
1714024945.7594967,cooldown
1714024950.7597964,edm
1714024956.9119015,cooldown
1714024961.9128969,edm
1714024969.5615172,cooldown
1714024974.5628264,rap
1714024984.742304,cooldown
1714024989.742706,cls
1714024998.9014888,cooldown
1714025003.9024556,rap
1714025012.381727,cooldown
1714025017.3828058,pop
1714025024.1515586,cooldown
1714025029.152497,pop
1714025034.96257,cooldown
1714025039.9633164,edm
1714025047.1915727,cooldown
1714025052.1924512,cls
1714025061.5820882,cooldown
1714025066.5823882,rap
1714025073.4615934,cooldown
1714025078.4627903,cls
1714025087.8515837,cooldown
1714025092.8527403,cls
1714025102.0123994,cooldown
1714025107.0128953,pop
1714025113.7814915,cooldown
1714025118.7826622,pop
1714025125.5626938,cooldown
1714025130.5632463,cls
