timestamps,TP9,AF7,AF8,TP10,Right AUX
1714027495.472,12.695,-31.738,-41.016,20.020,0.000
1714027495.476,16.113,-28.809,-42.480,20.020,0.000
1714027495.479,33.691,-27.832,-41.016,39.551,0.000
1714027495.483,43.457,-29.297,-43.457,44.434,0.000
1714027495.487,48.828,-31.250,-49.316,38.086,0.000
1714027495.491,53.711,-28.320,-45.898,45.410,0.000
1714027495.495,45.898,-23.438,-41.016,41.016,0.000
1714027495.499,51.270,-31.738,-42.480,39.551,0.000
1714027495.503,62.988,-37.598,-44.922,53.711,0.000
1714027495.507,61.523,-31.250,-44.922,49.316,0.000
1714027495.511,63.477,-29.297,-35.156,36.133,0.000
1714027495.515,73.730,-28.320,-30.273,40.039,0.000
1714027495.519,70.801,-28.320,-37.598,42.969,0.000
1714027495.523,68.359,-26.367,-38.086,49.316,0.000
1714027495.526,59.082,-27.832,-31.738,50.293,0.000
1714027495.530,43.457,-27.832,-26.367,46.387,0.000
1714027495.534,33.691,-24.414,-23.926,43.457,0.000
1714027495.538,21.973,-29.785,-26.855,40.527,0.000
1714027495.542,21.484,-30.273,-21.484,36.133,0.000
1714027495.546,19.531,-24.414,-18.555,28.320,0.000
1714027495.550,7.812,-26.855,-22.461,28.809,0.000
1714027495.554,7.812,-27.344,-22.949,29.297,0.000
1714027495.558,8.789,-23.438,-24.414,20.508,0.000
1714027495.562,-0.488,-28.809,-23.438,15.625,0.000
1714027495.566,-6.348,-32.227,-24.414,8.301,0.000
1714027495.569,-3.906,-29.785,-28.320,2.930,0.000
1714027495.573,1.465,-27.832,-22.949,7.324,0.000
1714027495.577,-1.465,-23.926,-18.066,3.906,0.000
1714027495.581,-4.395,-24.902,-16.113,2.441,0.000
1714027495.585,-6.836,-25.391,-20.996,6.836,0.000
1714027495.589,-12.695,-23.926,-20.996,0.000,0.000
1714027495.593,-19.043,-30.273,-19.043,-5.371,0.000
1714027495.597,-13.672,-28.320,-25.391,5.371,0.000
1714027495.601,-11.230,-24.414,-22.461,-2.441,0.000
1714027495.605,-12.207,-28.320,-19.043,-13.672,0.000
1714027495.609,-8.301,-23.926,-18.555,-8.301,0.000
1714027495.612,-10.254,-23.926,-20.020,-8.789,0.000
1714027495.616,-11.719,-31.738,-20.996,-11.719,0.000
1714027495.620,-12.207,-40.039,-28.809,-14.648,0.000
1714027495.624,-18.555,-40.527,-36.621,-17.090,0.000
1714027495.628,-21.973,-37.598,-31.250,-19.531,0.000
1714027495.632,-20.020,-37.598,-24.902,-18.066,0.000
1714027495.636,-21.484,-34.668,-20.996,-14.648,0.000
1714027495.640,-25.879,-32.227,-25.391,-12.207,0.000
1714027495.644,-19.531,-29.297,-27.344,-6.836,0.000
1714027495.648,-13.184,-20.508,-20.996,-12.695,0.000
1714027495.652,-14.160,-17.578,-20.508,-15.137,0.000
1714027495.655,-14.648,-20.020,-13.672,-13.672,0.000
1714027495.659,-12.207,-18.066,-15.625,-17.090,0.000
