timestamps,TP9,AF7,AF8,TP10,Right AUX
1714024088.577,-27.344,-29.297,-12.695,-28.320,0.000
1714024088.581,-23.438,-24.902,-20.996,-30.762,0.000
1714024088.585,-24.414,-24.414,-24.902,-32.227,0.000
1714024088.589,-19.531,-28.809,-24.902,-36.133,0.000
1714024088.593,-13.672,-27.832,-25.879,-32.227,0.000
1714024088.597,-13.184,-21.973,-22.461,-18.066,0.000
1714024088.600,-16.113,-31.250,-20.996,-18.555,0.000
1714024088.604,-22.949,-36.133,-25.391,-36.133,0.000
1714024088.608,-25.391,-28.809,-27.832,-36.621,0.000
1714024088.612,-21.484,-23.926,-24.902,-32.715,0.000
1714024088.616,-25.391,-25.879,-30.762,-38.086,0.000
1714024088.620,-30.762,-30.273,-32.227,-40.527,0.000
1714024088.620,-30.762,-30.273,-32.227,-40.527,0.000
1714024088.624,-28.320,-29.297,-20.996,-38.574,0.000
1714024088.628,-27.344,-28.320,-26.367,-33.691,0.000
1714024088.632,-28.809,-28.320,-41.504,-39.062,0.000
1714024088.636,-23.438,-30.762,-41.504,-42.480,0.000
1714024088.640,-13.184,-36.621,-33.203,-30.762,0.000
1714024088.643,-21.973,-30.762,-22.461,-28.320,0.000
1714024088.647,-32.227,-24.902,-19.531,-36.621,0.000
1714024088.651,-24.414,-32.715,-22.461,-33.203,0.000
1714024088.655,-22.461,-32.227,-19.531,-33.691,0.000
1714024088.659,-31.250,-30.273,-17.090,-29.785,0.000
1714024088.663,-25.879,-32.715,-20.020,-25.391,0.000
1714024088.667,-23.438,-28.809,-28.320,-32.715,0.000
1714024088.671,-28.320,-31.250,-32.715,-40.527,0.000
1714024088.675,-30.273,-37.109,-34.668,-45.898,0.000
1714024088.678,-30.273,-33.203,-35.645,-40.039,0.000
1714024088.682,-24.414,-32.715,-25.879,-28.320,0.000
1714024088.686,-25.391,-33.691,-25.391,-34.180,0.000
1714024088.690,-30.273,-38.086,-33.203,-44.434,0.000
1714024088.694,-25.391,-36.621,-32.715,-38.086,0.000
1714024088.698,-24.902,-34.668,-32.715,-27.832,0.000
1714024088.702,-26.855,-35.645,-26.367,-29.297,0.000
1714024088.706,-26.855,-32.715,-28.320,-38.086,0.000
1714024088.710,-29.297,-33.203,-37.598,-37.109,0.000
1714024088.714,-27.344,-31.250,-25.391,-23.926,0.000
1714024088.717,-25.391,-27.344,-16.602,-22.461,0.000
1714024088.721,-29.785,-29.785,-23.438,-35.156,0.000
1714024088.725,-33.691,-36.621,-29.785,-41.992,0.000
1714024088.729,-35.156,-30.762,-35.156,-40.527,0.000
1714024088.733,-31.738,-35.645,-37.598,-35.156,0.000
1714024088.737,-26.367,-33.203,-29.297,-32.715,0.000
1714024088.741,-26.855,-22.949,-20.020,-35.156,0.000
1714024088.745,-28.320,-22.461,-22.949,-31.738,0.000
1714024088.749,-28.809,-26.855,-23.438,-30.762,0.000
1714024088.753,-27.832,-31.738,-19.531,-30.762,0.000
1714024088.756,-24.902,-30.762,-18.066,-34.180,0.000
1714024088.760,-33.203,-28.809,-17.578,-42.480,0.000
1714024088.764,-45.898,-34.668,-30.762,-48.828,0.000
1714024088.768,-49.805,-39.062,-34.180,-54.688,0.000
1714024088.772,-59.570,-40.039,-26.855,-67.383,0.000
1714024088.776,-70.312,-41.504,-28.809,-77.148,0.000
1714024088.780,-73.242,-41.016,-20.996,-76.172,0.000
1714024088.783,-79.590,-32.227,-15.137,-88.379,0.000
1714024088.787,-83.496,-29.785,-21.973,-98.145,0.000
1714024088.791,-89.355,-33.203,-20.508,-93.750,0.000
1714024088.795,-95.703,-26.855,-10.254,-96.680,0.000
1714024088.799,-104.980,-24.414,-8.301,-112.793,0.000
1714024088.803,-109.863,-22.461,-5.371,-116.699,0.000
1714024088.807,-107.422,-20.996,-3.906,-121.582,0.000
1714024088.810,-120.117,-29.785,-12.207,-139.648,0.000
1714024088.814,-127.441,-33.203,-17.578,-136.719,0.000
1714024088.818,-123.535,-30.762,-16.113,-130.859,0.000
1714024088.822,-115.723,-30.273,-17.578,-125.977,0.000
1714024088.826,-107.910,-29.297,-17.578,-114.258,0.000
1714024088.830,-104.004,-26.367,-17.578,-99.609,0.000
1714024088.834,-98.633,-28.320,-23.438,-95.703,0.000
1714024088.838,-94.727,-38.574,-29.297,-102.539,0.000
1714024088.842,-74.219,-41.016,-25.879,-85.938,0.000
1714024088.846,-57.617,-37.109,-30.273,-61.523,0.000
1714024088.850,-55.176,-35.156,-40.039,-62.012,0.000
1714024088.853,-44.922,-29.297,-36.133,-59.570,0.000
1714024088.858,-37.598,-29.297,-35.156,-49.805,0.000
1714024088.862,-30.273,-33.203,-45.410,-42.969,0.000
1714024088.865,-20.020,-27.832,-46.387,-44.434,0.000
1714024088.869,-15.625,-27.344,-50.781,-54.199,0.000
1714024088.873,-6.348,-30.762,-56.152,-42.969,0.000
1714024088.877,-7.324,-31.250,-52.246,-19.531,0.000
1714024088.881,-9.277,-36.133,-46.875,-5.371,0.000
1714024088.885,0.488,-28.809,-41.992,-7.812,0.000
1714024088.889,-3.906,-25.879,-41.016,-5.859,0.000
1714024088.893,-6.348,-30.273,-41.016,4.395,0.000
1714024088.897,0.977,-23.926,-39.551,-0.977,0.000
1714024088.901,2.930,-21.484,-41.504,-10.254,0.000
1714024088.905,2.930,-30.273,-41.504,-10.254,0.000
1714024088.909,-1.465,-35.645,-44.434,-4.395,0.000
1714024088.913,1.953,-30.273,-43.945,-0.488,0.000
1714024088.916,7.324,-31.250,-38.574,-1.465,0.000
1714024088.920,2.441,-29.785,-36.133,-5.371,0.000
1714024088.924,-0.977,-20.508,-35.156,-5.859,0.000
1714024088.928,3.906,-26.855,-41.992,2.930,0.000
1714024088.932,-0.488,-33.691,-45.410,-0.488,0.000
1714024088.936,-1.953,-29.785,-41.504,-5.859,0.000
1714024088.940,7.812,-26.855,-28.809,-0.488,0.000
1714024088.944,8.789,-20.996,-22.461,0.488,0.000
1714024088.948,5.371,-20.020,-28.809,-2.930,0.000
1714024088.952,-1.953,-29.785,-40.039,-11.230,0.000
1714024088.956,-12.207,-38.574,-41.992,-17.578,0.000
1714024088.960,-13.672,-41.504,-34.668,-16.602,0.000
1714024088.963,-8.301,-35.156,-40.039,-11.719,0.000
1714024088.967,-5.371,-32.227,-43.945,-11.719,0.000
1714024088.971,0.000,-25.391,-32.715,-8.789,0.000
1714024088.975,0.977,-19.043,-24.414,-6.836,0.000
1714024088.979,-6.836,-22.949,-31.250,-9.277,0.000
1714024088.983,-12.207,-30.273,-41.504,-14.648,0.000
1714024088.987,-10.742,-32.715,-44.922,-19.043,0.000
1714024088.991,-4.395,-29.297,-41.992,-18.066,0.000
1714024088.995,-6.836,-27.832,-35.645,-14.160,0.000
1714024088.999,-5.859,-30.273,-31.250,-16.602,0.000
1714024089.003,-1.953,-25.879,-25.391,-22.949,0.000
1714024089.006,-5.371,-21.484,-27.344,-25.391,0.000
1714024089.010,-13.672,-26.367,-37.598,-20.020,0.000
1714024089.014,-10.742,-24.902,-38.574,-17.090,0.000
1714024089.018,-3.418,-24.902,-31.738,-18.066,0.000
1714024089.022,-10.254,-27.832,-31.250,-21.973,0.000
1714024089.026,-13.184,-26.855,-31.250,-15.625,0.000
1714024089.030,-3.906,-16.602,-22.949,4.883,0.000
1714024089.034,-10.742,-20.020,-19.531,-7.812,0.000
1714024089.038,-18.066,-31.738,-31.738,-23.438,0.000
1714024089.042,-14.648,-31.738,-38.574,-16.602,0.000
1714024089.045,-20.996,-32.715,-31.738,-15.137,0.000
1714024089.049,-19.531,-34.180,-38.086,-22.949,0.000
1714024089.053,-16.113,-25.391,-41.992,-26.855,0.000
1714024089.057,-15.137,-20.020,-28.809,-25.879,0.000
1714024089.061,-17.578,-25.879,-25.391,-24.414,0.000
