timestamps,TP9,AF7,AF8,TP10,Right AUX
1714028421.118,-29.297,-29.297,-29.785,-16.602,0.000
1714028421.122,-30.273,-32.227,-26.855,-25.391,0.000
1714028421.126,-31.738,-31.250,-34.180,-26.367,0.000
1714028421.130,-25.391,-30.762,-35.156,-18.066,0.000
1714028421.134,-17.578,-23.438,-34.180,-15.137,0.000
1714028421.138,-16.602,-22.461,-28.320,-26.855,0.000
1714028421.142,-17.090,-31.250,-35.645,-30.762,0.000
1714028421.146,-20.020,-31.250,-39.551,-21.973,0.000
1714028421.150,-21.484,-24.414,-29.785,-15.137,0.000
1714028421.153,-14.648,-29.297,-30.762,-16.113,0.000
1714028421.157,-17.090,-33.691,-40.039,-21.484,0.000
1714028421.161,-20.996,-31.250,-37.109,-20.508,0.000
1714028421.165,-16.113,-34.180,-28.809,-15.625,0.000
1714028421.169,-15.137,-36.133,-27.344,-17.578,0.000
1714028421.173,-12.695,-29.297,-27.344,-19.043,0.000
1714028421.177,-14.160,-25.879,-30.762,-20.508,0.000
1714028421.181,-18.066,-28.320,-30.762,-21.973,0.000
1714028421.185,-15.625,-28.320,-25.391,-16.602,0.000
1714028421.189,-14.648,-23.438,-20.020,-16.113,0.000
1714028421.192,-14.160,-22.461,-15.625,-13.672,0.000
1714028421.196,-21.484,-25.391,-13.184,-16.113,0.000
1714028421.200,-23.926,-26.367,-13.184,-19.531,0.000
1714028421.204,-17.578,-28.320,-24.414,-23.926,0.000
1714028421.208,-21.973,-28.809,-28.320,-27.344,0.000
1714028421.212,-22.949,-24.902,-18.066,-22.949,0.000
1714028421.216,-14.648,-23.438,-14.160,-9.277,0.000
1714028421.220,-13.184,-28.809,-18.555,-10.742,0.000
1714028421.224,-16.113,-31.250,-20.996,-19.043,0.000
1714028421.228,-15.137,-25.879,-24.902,-19.043,0.000
1714028421.231,-15.625,-23.926,-26.367,-19.043,0.000
1714028421.235,-18.555,-30.273,-28.320,-13.672,0.000
1714028421.239,-19.043,-29.297,-21.484,-13.184,0.000
1714028421.243,-22.461,-24.414,-25.879,-20.508,0.000
1714028421.247,-19.043,-22.949,-29.785,-18.555,0.000
