timestamps,TP9,AF7,AF8,TP10,Right AUX
1714024497.554,-23.926,-35.156,-28.320,-31.738,0.000
1714024497.558,-23.926,-22.949,-15.625,-26.367,0.000
1714024497.562,-19.531,-17.578,-14.160,-22.461,0.000
1714024497.566,-19.043,-19.531,-25.391,-27.832,0.000
1714024497.570,-17.090,-21.484,-34.668,-29.785,0.000
1714024497.574,-20.020,-22.461,-40.039,-37.598,0.000
1714024497.578,-27.832,-23.926,-37.598,-39.062,0.000
1714024497.582,-25.391,-27.344,-36.621,-26.855,0.000
1714024497.586,-24.414,-23.438,-33.203,-20.508,0.000
1714024497.590,-26.367,-22.949,-20.508,-30.273,0.000
1714024497.594,-27.344,-27.832,-24.902,-31.738,0.000
1714024497.597,-23.926,-22.949,-31.738,-25.879,0.000
1714024497.601,-19.531,-18.555,-29.785,-25.879,0.000
1714024497.605,-18.555,-11.719,-34.180,-30.273,0.000
1714024497.609,-16.602,-17.090,-31.250,-26.367,0.000
1714024497.613,-19.531,-28.320,-27.832,-22.949,0.000
1714024497.617,-24.902,-26.855,-32.227,-30.762,0.000
1714024497.621,-24.902,-19.043,-35.156,-30.762,0.000
1714024497.624,-22.949,-20.020,-27.832,-27.344,0.000
1714024497.628,-25.879,-27.344,-22.461,-20.996,0.000
1714024497.632,-32.227,-28.809,-30.273,-22.461,0.000
1714024497.636,-29.297,-31.738,-32.715,-26.855,0.000
1714024497.640,-28.809,-35.156,-29.785,-31.250,0.000
1714024497.644,-33.691,-33.203,-29.297,-35.156,0.000
1714024497.647,-40.527,-35.156,-25.391,-34.180,0.000
1714024497.651,-40.039,-40.039,-26.367,-35.645,0.000
1714024497.655,-32.227,-40.527,-24.414,-31.738,0.000
1714024497.659,-44.922,-35.645,-26.855,-35.156,0.000
1714024497.663,-45.410,-29.297,-37.109,-34.668,0.000
1714024497.667,-33.691,-29.297,-32.227,-31.250,0.000
1714024497.671,-35.645,-23.926,-24.902,-38.574,0.000
1714024497.675,-35.156,-18.066,-29.785,-41.504,0.000
1714024497.679,-33.203,-25.879,-39.062,-46.387,0.000
1714024497.683,-28.809,-35.645,-30.762,-39.551,0.000
1714024497.687,-21.484,-36.621,-26.367,-32.715,0.000
1714024497.690,-13.672,-23.926,-32.227,-35.645,0.000
1714024497.694,-19.531,-21.973,-36.621,-51.758,0.000
1714024497.698,-25.391,-25.391,-31.738,-61.035,0.000
1714024497.702,-10.254,-22.949,-21.484,-33.691,0.000
1714024497.706,-6.836,-18.555,-27.344,-24.902,0.000
1714024497.709,-14.648,-14.648,-38.574,-35.645,0.000
1714024497.713,-12.207,-18.066,-35.645,-25.391,0.000
1714024497.717,-19.531,-25.879,-27.344,-10.742,0.000
1714024497.721,-31.738,-29.297,-25.879,-19.043,0.000
1714024497.725,-39.062,-32.227,-31.250,-33.203,0.000
1714024497.729,-47.363,-35.645,-37.598,-39.062,0.000
1714024497.733,-49.805,-33.203,-38.086,-49.316,0.000
1714024497.737,-45.410,-30.273,-29.785,-50.293,0.000
1714024497.742,-45.410,-25.391,-31.250,-51.270,0.000
1714024497.745,-44.434,-18.555,-34.668,-50.781,0.000
1714024497.749,-40.527,-10.742,-33.691,-41.016,0.000
1714024497.753,-40.039,-18.066,-35.156,-41.016,0.000
1714024497.757,-43.457,-33.203,-39.062,-43.945,0.000
1714024497.761,-39.551,-34.180,-38.574,-42.969,0.000
1714024497.765,-32.715,-41.504,-23.438,-34.180,0.000
1714024497.769,-29.785,-35.645,-14.648,-30.762,0.000
1714024497.773,-32.715,-22.949,-23.438,-37.109,0.000
1714024497.777,-37.109,-24.414,-33.203,-45.898,0.000
1714024497.781,-32.715,-17.578,-36.621,-41.992,0.000
1714024497.784,-28.809,-19.043,-35.156,-34.180,0.000
1714024497.789,-31.250,-29.785,-33.691,-38.574,0.000
1714024497.793,-32.715,-27.344,-31.738,-40.039,0.000
1714024497.797,-32.715,-26.855,-32.227,-41.504,0.000
1714024497.801,-27.832,-28.809,-26.367,-34.668,0.000
1714024497.805,-26.855,-28.809,-14.160,-30.273,0.000
1714024497.808,-31.738,-31.738,-25.879,-38.574,0.000
1714024497.812,-29.785,-31.738,-37.598,-43.457,0.000
1714024497.816,-25.879,-18.066,-29.785,-37.598,0.000
1714024497.820,-20.996,-15.625,-23.438,-27.344,0.000
1714024497.824,-19.531,-28.809,-20.508,-21.484,0.000
1714024497.828,-19.531,-28.320,-18.066,-19.043,0.000
1714024497.832,-20.020,-27.344,-18.066,-21.973,0.000
1714024497.836,-19.531,-31.250,-20.508,-25.879,0.000
1714024497.840,-20.020,-31.250,-25.879,-33.691,0.000
1714024497.844,-28.809,-33.203,-28.320,-39.062,0.000
1714024497.848,-34.180,-33.203,-29.785,-37.109,0.000
1714024497.852,-20.020,-22.949,-27.832,-29.297,0.000
1714024497.856,-20.996,-24.902,-24.414,-29.297,0.000
1714024497.860,-27.832,-30.762,-28.809,-32.715,0.000
1714024497.863,-25.879,-31.250,-32.715,-41.504,0.000
1714024497.867,-31.738,-30.273,-26.855,-41.016,0.000
1714024497.871,-35.645,-29.785,-22.461,-39.551,0.000
1714024497.875,-38.086,-28.320,-21.973,-50.293,0.000
1714024497.879,-33.691,-27.344,-25.879,-41.992,0.000
1714024497.883,-31.250,-22.461,-27.832,-38.086,0.000
1714024497.887,-40.039,-16.602,-23.438,-44.434,0.000
1714024497.891,-33.691,-21.973,-13.672,-35.156,0.000
1714024497.895,-26.367,-27.344,-12.207,-31.250,0.000
1714024497.899,-31.738,-24.414,-21.973,-37.598,0.000
1714024497.903,-30.273,-22.949,-24.902,-32.715,0.000
1714024497.906,-25.879,-22.461,-23.438,-26.367,0.000
1714024497.910,-24.902,-20.020,-26.855,-25.879,0.000
1714024497.914,-26.855,-27.344,-31.250,-29.297,0.000
1714024497.918,-27.832,-26.367,-19.531,-25.391,0.000
1714024497.922,-30.273,-22.949,-15.137,-29.297,0.000
1714024497.926,-26.367,-21.973,-17.578,-34.668,0.000
1714024497.930,-25.391,-22.949,-11.230,-36.133,0.000
1714024497.934,-26.367,-23.926,-11.230,-31.250,0.000
1714024497.938,-30.273,-22.461,-25.391,-32.715,0.000
1714024497.941,-31.738,-28.809,-25.391,-38.574,0.000
1714024497.945,-30.762,-23.438,-20.508,-34.668,0.000
1714024497.949,-39.062,-28.320,-23.438,-44.434,0.000
1714024497.953,-40.527,-37.598,-17.090,-43.457,0.000
1714024497.957,-34.668,-30.273,-11.719,-35.156,0.000
1714024497.961,-26.855,-25.879,-15.137,-34.180,0.000
1714024497.965,-23.926,-19.531,-8.789,-34.668,0.000
1714024497.969,-27.832,-17.090,-4.883,-31.250,0.000
1714024497.973,-31.250,-24.414,-18.066,-35.156,0.000
1714024497.978,-32.227,-32.227,-30.762,-43.945,0.000
1714024497.982,-49.805,-33.691,-33.203,-59.082,0.000
1714024497.986,-49.805,-25.391,-23.926,-56.641,0.000
1714024497.990,-54.199,-30.762,-22.949,-59.570,0.000
1714024497.994,-69.824,-35.156,-22.949,-77.637,0.000
1714024497.997,-68.848,-28.809,-21.484,-76.660,0.000
1714024498.001,-83.008,-35.156,-23.926,-85.449,0.000
1714024498.005,-94.238,-44.922,-30.273,-92.773,0.000
1714024498.009,-98.145,-41.504,-27.832,-98.145,0.000
1714024498.013,-106.445,-36.133,-23.926,-112.793,0.000
1714024498.017,-112.793,-39.062,-18.066,-117.676,0.000
1714024498.021,-114.258,-47.363,-13.184,-119.629,0.000
1714024498.024,-107.910,-47.363,-9.766,-122.070,0.000
1714024498.028,-107.910,-47.852,-4.883,-124.023,0.000
1714024498.032,-114.258,-53.711,-14.160,-111.816,0.000
1714024498.036,-107.422,-48.828,-25.879,-96.680,0.000
1714024498.040,-97.656,-42.480,-18.066,-94.238,0.000
1714024498.044,-93.750,-33.691,-10.254,-91.309,0.000
1714024498.048,-80.566,-29.785,-8.301,-80.566,0.000
1714024498.051,-76.660,-41.016,-20.508,-84.961,0.000
1714024498.055,-72.266,-31.738,-36.133,-89.844,0.000
1714024498.059,-62.988,-26.855,-34.668,-75.195,0.000
1714024498.063,-58.594,-42.480,-36.133,-57.129,0.000
1714024498.067,-55.664,-43.945,-41.504,-48.828,0.000
1714024498.070,-50.781,-38.574,-29.297,-57.129,0.000
1714024498.074,-41.992,-33.691,-20.508,-54.199,0.000
1714024498.078,-37.598,-28.320,-26.367,-41.992,0.000
1714024498.082,-31.250,-27.344,-28.809,-41.992,0.000
1714024498.086,-32.227,-30.762,-41.992,-43.945,0.000
1714024498.090,-37.598,-33.691,-50.781,-47.363,0.000
1714024498.094,-38.086,-32.715,-49.805,-41.016,0.000
1714024498.098,-35.156,-33.203,-43.945,-35.156,0.000
1714024498.102,-25.879,-28.320,-37.598,-32.715,0.000
1714024498.105,-20.508,-24.902,-25.391,-23.926,0.000
1714024498.109,-13.184,-20.020,-11.230,-15.625,0.000
1714024498.113,-16.602,-14.648,-26.855,-23.438,0.000
1714024498.116,-30.762,-30.273,-45.898,-31.738,0.000
1714024498.120,-39.062,-41.504,-41.504,-36.133,0.000
1714024498.124,-44.922,-34.668,-27.832,-53.223,0.000
1714024498.128,-52.734,-33.691,-29.785,-63.965,0.000
1714024498.132,-71.289,-30.762,-40.527,-76.660,0.000
1714024498.136,-72.754,-20.020,-25.391,-81.055,0.000
1714024498.140,-76.660,-27.832,-11.230,-86.426,0.000
1714024498.144,-98.633,-40.039,-15.137,-113.281,0.000
1714024498.148,-112.305,-36.133,-22.461,-125.488,0.000
1714024498.151,-115.234,-35.156,-23.438,-125.977,0.000
1714024498.155,-120.117,-32.715,-16.113,-134.277,0.000
1714024498.159,-127.930,-32.715,-18.555,-143.555,0.000
1714024498.164,-120.117,-34.668,-16.113,-147.461,0.000
1714024498.168,-107.422,-29.297,-3.906,-133.789,0.000
1714024498.172,-103.516,-33.691,3.418,-122.559,0.000
1714024498.176,-96.191,-35.156,0.488,-121.582,0.000
1714024498.179,-90.820,-28.320,-13.672,-115.234,0.000
1714024498.183,-88.867,-31.250,-22.949,-103.027,0.000
1714024498.187,-80.078,-26.855,-21.973,-93.750,0.000
1714024498.191,-65.918,-24.902,-22.461,-85.449,0.000
1714024498.195,-60.059,-34.180,-22.461,-76.660,0.000
1714024498.199,-53.223,-35.156,-21.484,-62.500,0.000
1714024498.203,-43.945,-31.250,-19.043,-55.176,0.000
1714024498.207,-39.062,-31.738,-24.902,-56.641,0.000
1714024498.211,-36.133,-34.180,-37.109,-53.711,0.000
1714024498.215,-31.738,-39.551,-38.574,-42.969,0.000
1714024498.219,-22.949,-41.016,-33.691,-29.785,0.000
1714024498.223,-20.020,-35.156,-31.250,-31.738,0.000
1714024498.227,-14.648,-31.250,-27.344,-37.598,0.000
1714024498.230,1.953,-27.832,-31.250,-24.414,0.000
1714024498.234,0.488,-36.133,-40.527,-20.508,0.000
1714024498.238,5.371,-30.762,-35.156,-21.484,0.000
1714024498.242,19.043,-20.996,-33.203,-10.742,0.000
1714024498.246,13.672,-30.762,-34.180,-6.836,0.000
1714024498.250,15.625,-35.156,-28.320,0.977,0.000
1714024498.254,31.250,-31.738,-22.461,12.207,0.000
1714024498.258,35.156,-21.484,-14.160,19.531,0.000
1714024498.262,22.461,-27.832,-25.391,16.113,0.000
1714024498.266,16.602,-29.297,-46.387,4.395,0.000
1714024498.270,14.648,-24.902,-47.363,6.348,0.000
1714024498.274,14.648,-32.227,-45.410,5.859,0.000
1714024498.277,23.926,-20.508,-46.387,7.812,0.000
1714024498.281,28.320,-22.949,-36.133,13.672,0.000
1714024498.285,27.344,-37.598,-40.039,16.113,0.000
1714024498.289,30.273,-31.250,-51.758,21.484,0.000
1714024498.293,24.902,-22.949,-45.410,13.184,0.000
