timestamps,TP9,AF7,AF8,TP10,Right AUX
1714023872.501,-27.344,-30.762,-10.742,-35.645,0.000
1714023872.505,-30.762,-30.273,-18.555,-47.363,0.000
1714023872.509,-38.574,-28.320,-32.715,-48.340,0.000
1714023872.513,-29.785,-27.832,-19.531,-32.227,0.000
1714023872.517,-25.391,-30.762,-8.789,-34.180,0.000
1714023872.520,-30.762,-33.203,-19.043,-45.898,0.000
1714023872.524,-37.109,-31.738,-30.762,-41.504,0.000
1714023872.528,-45.898,-25.879,-29.785,-47.363,0.000
1714023872.532,-38.574,-20.020,-16.113,-48.828,0.000
1714023872.536,-26.855,-22.949,-11.230,-43.457,0.000
1714023872.540,-34.180,-24.414,-25.391,-48.340,0.000
1714023872.544,-37.598,-24.414,-22.461,-41.016,0.000
1714023872.548,-35.156,-28.809,-19.043,-39.062,0.000
1714023872.552,-36.621,-29.785,-28.320,-47.363,0.000
1714023872.556,-40.039,-20.508,-22.949,-48.828,0.000
1714023872.560,-42.969,-8.301,-12.695,-51.758,0.000
1714023872.564,-47.363,-14.160,-10.254,-56.152,0.000
1714023872.568,-58.594,-30.762,-14.160,-62.012,0.000
1714023872.572,-68.848,-33.691,-14.160,-75.195,0.000
1714023872.575,-79.590,-24.902,-14.160,-94.727,0.000
1714023872.579,-87.402,-26.855,-17.578,-110.840,0.000
1714023872.583,-105.469,-35.156,-8.301,-125.977,0.000
1714023872.587,-127.441,-35.156,0.977,-139.648,0.000
1714023872.591,-140.625,-30.762,-0.977,-147.461,0.000
1714023872.595,0.000,-33.203,-0.977,-148.926,0.000
1714023872.599,0.000,-32.227,0.488,-153.809,0.000
1714023872.603,0.000,-30.762,1.953,-164.551,0.000
1714023872.607,0.000,-39.551,-4.883,-174.805,0.000
1714023872.611,0.000,-48.828,-3.418,-176.758,0.000
1714023872.615,0.000,-51.270,10.254,-168.945,0.000
1714023872.619,0.000,-39.062,20.996,-162.598,0.000
1714023872.623,0.000,-29.297,24.902,-166.016,0.000
1714023872.626,0.000,-28.320,19.043,-159.180,0.000
1714023872.630,0.000,-26.367,5.371,-149.414,0.000
1714023872.634,0.000,-27.832,-1.465,-153.809,0.000
1714023872.638,0.000,-35.645,11.719,-141.602,0.000
1714023872.642,-112.305,-36.621,18.066,-126.465,0.000
1714023872.646,-103.516,-32.227,7.324,-115.234,0.000
1714023872.650,-93.262,-26.367,1.465,-106.445,0.000
1714023872.654,-85.449,-24.902,-11.719,-111.328,0.000
1714023872.658,-83.008,-28.809,-23.926,-101.562,0.000
1714023872.662,-77.637,-46.875,-22.461,-85.938,0.000
1714023872.666,-58.105,-46.875,-13.672,-67.871,0.000
1714023872.670,-44.434,-33.203,-13.672,-59.082,0.000
1714023872.673,-40.039,-29.785,-33.691,-52.246,0.000
1714023872.677,-32.715,-24.414,-32.715,-40.039,0.000
1714023872.681,-20.996,-26.855,-26.855,-38.086,0.000
1714023872.685,-15.137,-29.297,-36.133,-37.598,0.000
1714023872.689,-21.484,-26.855,-43.945,-38.574,0.000
1714023872.693,-17.578,-31.250,-49.316,-28.320,0.000
1714023872.697,-10.742,-38.574,-45.898,-21.484,0.000
1714023872.701,-7.812,-39.551,-41.992,-22.461,0.000
1714023872.705,-5.371,-36.133,-50.293,-20.020,0.000
1714023872.709,-1.465,-34.668,-51.270,-8.789,0.000
1714023872.713,-0.977,-35.156,-37.109,4.883,0.000
1714023872.716,-3.906,-31.738,-46.875,-4.395,0.000
1714023872.720,0.977,-23.438,-57.617,-10.254,0.000
1714023872.724,1.465,-32.227,-47.852,-7.324,0.000
1714023872.728,4.395,-37.109,-44.434,-1.953,0.000
1714023872.732,8.301,-32.227,-42.969,-1.465,0.000
1714023872.736,5.371,-32.227,-38.574,-4.395,0.000
1714023872.740,4.395,-23.926,-41.992,-6.348,0.000
1714023872.744,10.254,-24.414,-38.574,-2.930,0.000
1714023872.748,12.695,-28.320,-39.062,4.395,0.000
1714023872.752,11.230,-25.879,-44.922,2.930,0.000
1714023872.756,12.695,-27.344,-47.363,1.953,0.000
1714023872.759,14.160,-31.738,-47.363,3.906,0.000
1714023872.763,12.207,-31.738,-42.480,6.836,0.000
1714023872.767,9.277,-29.297,-38.574,3.906,0.000
1714023872.771,2.441,-29.297,-41.504,-8.301,0.000
1714023872.775,2.930,-28.320,-51.758,-8.301,0.000
1714023872.779,10.742,-25.391,-50.781,-1.465,0.000
1714023872.783,10.742,-24.414,-49.805,-8.789,0.000
1714023872.787,8.789,-24.902,-59.082,-13.672,0.000
1714023872.791,12.695,-29.297,-57.129,-2.441,0.000
1714023872.795,8.789,-33.203,-43.945,2.930,0.000
1714023872.799,5.859,-34.180,-39.551,-2.930,0.000
1714023872.803,9.277,-32.227,-36.133,-1.953,0.000
1714023872.807,10.254,-27.344,-33.203,4.883,0.000
1714023872.811,4.395,-24.414,-37.109,3.418,0.000
1714023872.815,1.465,-25.879,-41.504,1.465,0.000
1714023872.818,3.906,-23.438,-42.969,-4.883,0.000
1714023872.822,2.930,-24.414,-40.527,-4.883,0.000
1714023872.826,2.930,-27.832,-43.945,0.488,0.000
1714023872.830,6.836,-19.531,-39.551,-1.953,0.000
1714023872.834,8.789,-17.578,-28.320,-0.977,0.000
1714023872.838,11.719,-21.973,-36.621,0.977,0.000
1714023872.842,3.418,-22.949,-47.852,-5.859,0.000
1714023872.846,-6.836,-27.344,-46.875,-6.348,0.000
1714023872.849,-2.441,-31.738,-43.457,-6.836,0.000
1714023872.853,-2.441,-28.809,-39.551,-9.766,0.000
1714023872.857,-1.465,-23.438,-38.086,-4.395,0.000
1714023872.861,4.395,-20.020,-35.645,2.441,0.000
1714023872.865,6.348,-22.461,-26.367,2.441,0.000
1714023872.869,7.324,-20.996,-30.273,5.371,0.000
1714023872.873,3.906,-19.043,-41.504,7.324,0.000
1714023872.877,-0.488,-25.879,-37.598,-3.906,0.000
1714023872.881,1.953,-22.949,-37.109,-11.230,0.000
1714023872.885,2.441,-21.973,-43.457,-12.695,0.000
1714023872.889,-3.418,-23.438,-43.457,-12.695,0.000
1714023872.893,-12.207,-22.461,-38.086,-7.812,0.000
1714023872.897,-13.184,-36.133,-36.621,-7.324,0.000
1714023872.901,-12.695,-37.598,-36.621,-18.555,0.000
1714023872.905,-16.602,-28.809,-38.086,-27.832,0.000
1714023872.908,-18.555,-34.180,-48.340,-26.367,0.000
1714023872.912,-17.090,-32.715,-48.340,-16.113,0.000
1714023872.916,-16.113,-23.438,-45.898,-15.137,0.000
1714023872.920,-17.578,-26.855,-39.062,-21.484,0.000
1714023872.924,-19.043,-39.062,-28.809,-17.090,0.000
1714023872.928,-15.137,-29.297,-32.715,-11.719,0.000
1714023872.932,-13.184,-18.066,-35.156,-21.973,0.000
1714023872.936,-14.648,-24.414,-31.250,-32.227,0.000
1714023872.940,-16.602,-28.809,-37.109,-27.344,0.000
1714023872.944,-29.297,-32.227,-42.480,-25.879,0.000
1714023872.948,-28.809,-36.133,-41.992,-25.391,0.000
1714023872.952,-17.090,-29.297,-29.785,-21.973,0.000
1714023872.956,-16.602,-20.508,-25.879,-24.414,0.000
1714023872.959,-23.438,-29.785,-41.016,-24.902,0.000
1714023872.963,-26.855,-46.875,-33.691,-22.461,0.000
1714023872.967,-23.438,-35.645,-25.879,-32.227,0.000
1714023872.971,-18.066,-24.414,-42.480,-35.645,0.000
1714023872.975,-19.043,-31.250,-43.945,-27.832,0.000
1714023872.979,-12.695,-28.320,-32.227,-20.508,0.000
1714023872.983,-6.836,-18.555,-26.855,-21.973,0.000
1714023872.987,-15.625,-24.414,-28.809,-32.227,0.000
1714023872.991,-19.531,-39.062,-38.086,-31.738,0.000
1714023872.995,-12.695,-33.691,-28.809,-24.414,0.000
1714023872.999,-12.695,-21.484,-20.508,-24.414,0.000
1714023873.003,-16.602,-23.926,-33.203,-29.785,0.000
1714023873.006,-20.996,-27.832,-38.086,-34.180,0.000
1714023873.010,-20.508,-18.555,-30.273,-31.250,0.000
1714023873.014,-12.695,-17.090,-19.043,-24.902,0.000
1714023873.018,-3.418,-20.508,-13.184,-16.113,0.000
1714023873.022,-7.324,-15.137,-16.602,-17.578,0.000
1714023873.026,-16.602,-19.043,-23.438,-19.531,0.000
1714023873.030,-14.160,-28.809,-30.273,-14.160,0.000
1714023873.034,-18.066,-37.109,-40.039,-20.508,0.000
1714023873.038,-21.973,-29.785,-38.086,-25.391,0.000
1714023873.042,-19.531,-17.090,-27.832,-27.344,0.000
1714023873.046,-18.555,-15.137,-20.020,-28.320,0.000
1714023873.049,-18.066,-20.020,-24.414,-20.996,0.000
1714023873.053,-15.625,-27.344,-26.855,-21.973,0.000
1714023873.057,-20.996,-41.504,-30.762,-26.855,0.000
1714023873.061,-27.344,-38.086,-37.109,-29.297,0.000
1714023873.065,-32.227,-25.879,-40.527,-42.480,0.000
1714023873.069,-37.598,-23.926,-49.316,-46.387,0.000
1714023873.073,-29.297,-20.020,-45.898,-34.180,0.000
1714023873.077,-21.484,-18.555,-34.668,-28.320,0.000
1714023873.081,-24.414,-15.137,-37.598,-32.227,0.000
1714023873.085,-25.391,-22.461,-30.762,-36.133,0.000
1714023873.089,-27.832,-34.668,-25.879,-36.621,0.000
1714023873.092,-34.668,-33.691,-36.621,-36.621,0.000
1714023873.096,-30.762,-35.156,-35.645,-27.344,0.000
1714023873.100,-30.273,-33.691,-32.715,-29.785,0.000
1714023873.104,-31.738,-20.508,-33.203,-38.574,0.000
1714023873.108,-28.809,-23.926,-32.715,-39.551,0.000
1714023873.112,-36.133,-33.691,-32.227,-42.480,0.000
1714023873.116,-31.738,-23.438,-23.438,-40.039,0.000
1714023873.120,-24.414,-23.926,-14.160,-39.062,0.000
1714023873.124,-31.250,-30.762,-20.996,-43.457,0.000
1714023873.128,-31.738,-30.273,-35.156,-41.016,0.000
1714023873.131,-27.832,-35.645,-36.621,-36.621,0.000
1714023873.135,-28.320,-37.109,-27.832,-46.875,0.000
1714023873.139,-29.785,-29.297,-34.668,-45.898,0.000
1714023873.143,-34.668,-26.855,-41.504,-39.062,0.000
1714023873.147,-32.227,-25.391,-30.762,-41.504,0.000
1714023873.151,-21.484,-29.785,-22.949,-38.574,0.000
1714023873.155,-28.809,-38.574,-28.809,-44.922,0.000
1714023873.159,-35.156,-30.762,-31.738,-37.598,0.000
1714023873.163,-29.297,-21.484,-35.156,-27.832,0.000
1714023873.166,-28.809,-22.949,-42.480,-28.809,0.000
1714023873.170,-28.320,-24.902,-34.668,-35.156,0.000
1714023873.174,-30.762,-25.879,-27.344,-35.156,0.000
1714023873.178,-28.320,-20.508,-33.203,-26.367,0.000
1714023873.182,-20.996,-20.996,-31.250,-28.809,0.000
1714023873.186,-21.484,-28.809,-29.297,-28.809,0.000
1714023873.190,-24.414,-22.949,-33.203,-29.785,0.000
1714023873.194,-25.879,-19.043,-41.016,-34.668,0.000
1714023873.198,-28.809,-24.414,-39.551,-35.156,0.000
1714023873.202,-28.320,-31.738,-32.227,-38.574,0.000
1714023873.205,-27.344,-31.250,-32.227,-41.992,0.000
1714023873.209,-29.297,-32.715,-27.344,-42.480,0.000
1714023873.213,-29.297,-39.062,-24.902,-35.645,0.000
1714023873.217,-29.785,-33.691,-24.902,-33.203,0.000
1714023873.221,-28.320,-21.973,-35.645,-34.180,0.000
1714023873.225,-30.762,-28.809,-37.598,-36.133,0.000
1714023873.229,-34.180,-34.668,-35.645,-31.738,0.000
1714023873.233,-31.250,-27.832,-34.180,-26.367,0.000
