timestamps,TP9,AF7,AF8,TP10,Right AUX
1713985212.844,-103.027,-26.855,-36.621,-122.070,0.000
1713985212.848,-91.309,-24.902,-28.320,-111.328,0.000
1713985212.852,-83.008,-19.043,-17.578,-76.172,0.000
1713985212.856,-61.523,-31.250,-26.855,-42.969,0.000
1713985212.860,-51.758,-49.805,-45.898,-57.617,0.000
1713985212.864,-55.176,-58.105,-63.965,-80.078,0.000
1713985212.868,-43.945,-65.430,-75.195,-45.898,0.000
1713985212.872,-20.508,-68.848,-81.055,-5.371,0.000
1713985212.875,-7.812,-79.590,-88.379,-15.625,0.000
1713985212.879,-4.395,-82.520,-93.750,-37.598,0.000
1713985212.883,-0.488,-83.496,-95.703,-23.926,0.000
1713985212.887,1.465,-84.961,-98.145,-3.418,0.000
1713985212.887,1.465,-84.961,-98.145,-3.418,0.000
1713985212.891,21.484,-83.008,-100.098,11.719,0.000
1713985212.895,37.598,-87.891,-105.469,2.441,0.000
1713985212.899,35.156,-91.309,-111.816,-7.812,0.000
1713985212.903,41.992,-96.191,-105.469,28.320,0.000
1713985212.907,50.293,-103.027,-106.445,55.664,0.000
1713985212.911,58.105,-99.121,-112.793,43.457,0.000
1713985212.914,58.105,-93.262,-113.770,34.180,0.000
1713985212.918,45.898,-113.281,-122.559,52.246,0.000
1713985212.922,57.129,-116.211,-129.395,85.449,0.000
1713985212.926,71.289,-85.449,-125.977,80.078,0.000
1713985212.930,67.383,-79.590,-122.070,56.152,0.000
1713985212.934,63.965,-86.426,-113.770,65.430,0.000
1713985212.938,64.453,-93.750,-112.305,89.844,0.000
1713985212.942,79.102,-89.355,-114.258,94.238,0.000
1713985212.946,78.613,-81.055,-118.164,70.312,0.000
1713985212.950,60.547,-86.426,-121.094,60.547,0.000
1713985212.954,58.594,-91.309,-121.094,79.590,0.000
1713985212.957,64.941,-89.355,-131.348,83.496,0.000
1713985212.961,63.965,-84.473,-133.301,62.500,0.000
1713985212.965,62.012,-88.379,-130.859,51.758,0.000
1713985212.969,62.988,-83.984,-126.465,75.684,0.000
1713985212.973,76.660,-74.707,-117.188,91.309,0.000
1713985212.977,76.172,-84.961,-115.234,63.477,0.000
1713985212.981,62.988,-97.656,-120.605,33.691,0.000
1713985212.985,60.547,-90.820,-124.512,46.875,0.000
1713985212.989,61.523,-80.566,-119.141,64.941,0.000
1713985212.993,61.523,-72.266,-125.000,57.617,0.000
1713985212.996,56.152,-75.195,-130.859,30.762,0.000
1713985213.000,46.387,-83.496,-132.324,27.832,0.000
1713985213.004,43.945,-85.938,-140.625,57.129,0.000
1713985213.008,57.129,-81.055,-139.648,62.988,0.000
1713985213.012,48.828,-79.102,-131.836,26.855,0.000
1713985213.016,31.250,-74.707,-123.047,9.277,0.000
