timestamps,TP9,AF7,AF8,TP10,Right AUX
1714027060.608,-29.785,-26.855,-25.391,-29.297,0.000
1714027060.612,-25.879,-17.090,-27.832,-20.508,0.000
1714027060.616,-18.555,-16.602,-20.020,-17.090,0.000
1714027060.620,-20.996,-20.996,-22.949,-18.555,0.000
1714027060.624,-22.949,-19.043,-27.344,-21.484,0.000
1714027060.628,-22.949,-24.414,-29.297,-17.090,0.000
1714027060.632,-25.391,-31.738,-29.297,-10.254,0.000
1714027060.636,-25.879,-28.320,-27.344,-9.766,0.000
1714027060.640,-26.367,-23.438,-24.414,-13.672,0.000
1714027060.644,-25.879,-21.973,-19.531,-20.508,0.000
1714027060.648,-22.461,-20.508,-18.066,-20.508,0.000
1714027060.651,-27.344,-25.879,-23.438,-18.555,0.000
1714027060.655,-31.738,-30.273,-28.320,-25.391,0.000
1714027060.659,-23.438,-25.879,-27.832,-25.879,0.000
1714027060.663,-20.508,-29.297,-33.691,-19.531,0.000
1714027060.667,-20.020,-35.156,-35.156,-19.043,0.000
1714027060.671,-16.113,-23.926,-26.367,-18.555,0.000
1714027060.675,-19.531,-13.184,-19.043,-19.043,0.000
1714027060.679,-20.996,-19.043,-20.996,-18.555,0.000
1714027060.683,-16.602,-23.438,-28.809,-16.113,0.000
1714027060.687,-19.043,-19.531,-29.785,-20.996,0.000
1714027060.690,-22.949,-18.555,-26.855,-23.438,0.000
1714027060.694,-24.902,-17.578,-29.785,-21.484,0.000
1714027060.698,-16.602,-18.066,-36.621,-20.996,0.000
1714027060.702,-14.648,-21.973,-22.949,-15.625,0.000
1714027060.706,-17.090,-21.484,-18.066,-20.996,0.000
1714027060.710,-24.902,-19.531,-32.227,-35.645,0.000
1714027060.714,-29.297,-16.602,-39.551,-31.738,0.000
1714027060.718,-20.020,-18.555,-34.180,-20.508,0.000
1714027060.722,-12.695,-19.043,-30.273,-22.461,0.000
1714027060.726,-11.230,-20.996,-30.762,-24.902,0.000
1714027060.730,-4.883,-22.461,-27.832,-20.020,0.000
1714027060.733,-2.441,-17.578,-26.367,-19.043,0.000
1714027060.737,-4.395,-15.625,-19.531,-19.043,0.000
1714027060.741,-9.766,-19.043,-16.113,-22.949,0.000
1714027060.745,-20.020,-25.879,-23.926,-22.949,0.000
1714027060.749,-20.020,-24.902,-22.461,-9.766,0.000
1714027060.753,-25.879,-22.461,-22.949,-10.742,0.000
1714027060.757,-34.180,-23.926,-32.227,-19.043,0.000
1714027060.761,-28.320,-21.484,-31.250,-12.207,0.000
1714027060.765,-28.320,-21.973,-27.832,-13.672,0.000
1714027060.769,-27.832,-22.949,-30.273,-18.555,0.000
1714027060.772,-28.809,-23.926,-25.879,-15.137,0.000
1714027060.776,-29.297,-30.762,-22.461,-11.230,0.000
1714027060.780,-28.320,-28.809,-29.785,-13.672,0.000
1714027060.784,-24.902,-19.531,-26.367,-13.672,0.000
1714027060.788,-24.414,-20.996,-27.344,-16.602,0.000
1714027060.792,-25.879,-26.367,-25.391,-20.020,0.000
1714027060.796,-21.973,-31.250,-18.066,-14.160,0.000
1714027060.800,-17.090,-27.344,-18.555,-9.277,0.000
1714027060.804,-15.137,-17.578,-24.414,-12.695,0.000
1714027060.808,-21.484,-23.438,-43.945,-31.738,0.000
1714027060.812,-20.996,-22.949,-44.922,-35.156,0.000
1714027060.815,-20.508,-22.949,-36.133,-24.902,0.000
1714027060.819,-22.949,-24.902,-38.574,-24.414,0.000
1714027060.823,-21.484,-20.996,-37.598,-29.785,0.000
1714027060.827,-22.949,-21.973,-32.715,-34.668,0.000
1714027060.831,-21.973,-27.832,-27.344,-26.855,0.000
1714027060.835,-20.508,-31.250,-19.043,-19.043,0.000
1714027060.839,-15.137,-25.879,-26.855,-22.949,0.000
1714027060.843,-11.230,-19.531,-27.832,-30.273,0.000
1714027060.847,-15.137,-18.555,-17.090,-27.832,0.000
1714027060.851,-12.207,-16.113,-18.066,-18.555,0.000
1714027060.855,-18.555,-22.949,-20.996,-19.531,0.000
1714027060.858,-17.578,-34.668,-24.902,-15.137,0.000
1714027060.862,-5.859,-30.273,-30.762,-8.301,0.000
1714027060.866,-19.531,-21.484,-33.691,-24.414,0.000
1714027060.870,-30.762,-22.949,-37.109,-39.062,0.000
1714027060.874,-29.785,-26.855,-31.738,-36.133,0.000
1714027060.878,-35.645,-25.391,-30.273,-36.133,0.000
1714027060.882,-39.062,-28.809,-34.668,-43.457,0.000
1714027060.886,-39.551,-32.227,-31.250,-37.598,0.000
1714027060.890,-41.504,-20.020,-29.297,-34.180,0.000
1714027060.894,-33.691,-12.695,-26.855,-36.621,0.000
1714027060.898,-26.855,-19.043,-28.809,-33.203,0.000
1714027060.901,-25.879,-25.391,-28.320,-26.367,0.000
1714027060.905,-28.320,-27.344,-32.227,-36.621,0.000
1714027060.909,-36.133,-25.879,-36.621,-45.410,0.000
1714027060.913,-38.086,-28.320,-30.273,-39.551,0.000
1714027060.917,-33.203,-33.691,-30.762,-35.156,0.000
1714027060.921,-34.668,-32.715,-29.297,-28.320,0.000
1714027060.925,-38.574,-27.832,-28.809,-31.250,0.000
1714027060.929,-38.574,-28.320,-32.715,-38.086,0.000
1714027060.933,-39.551,-30.762,-29.297,-38.574,0.000
1714027060.937,-35.645,-28.320,-36.133,-28.320,0.000
1714027060.941,-35.156,-27.344,-40.039,-29.297,0.000
1714027060.944,-39.062,-34.668,-24.414,-37.109,0.000
1714027060.948,-34.668,-28.809,-15.625,-27.344,0.000
1714027060.952,-29.785,-22.461,-20.508,-22.461,0.000
1714027060.956,-32.227,-27.344,-21.484,-33.203,0.000
1714027060.960,-35.156,-24.902,-20.996,-39.062,0.000
1714027060.964,-27.344,-24.414,-34.180,-36.621,0.000
1714027060.968,-20.020,-25.879,-40.039,-32.715,0.000
1714027060.972,-17.090,-26.367,-31.250,-34.668,0.000
1714027060.976,-13.672,-22.461,-26.367,-29.297,0.000
1714027060.980,-13.672,-20.996,-20.020,-26.367,0.000
1714027060.984,-9.766,-18.066,-15.625,-27.344,0.000
1714027060.987,-10.254,-12.207,-17.090,-22.949,0.000
1714027060.991,-15.625,-16.602,-31.250,-25.391,0.000
1714027060.995,-13.672,-21.973,-39.062,-20.020,0.000
1714027060.999,-15.137,-22.461,-35.645,-19.043,0.000
1714027061.003,-16.602,-18.555,-26.855,-21.484,0.000
1714027061.007,-14.648,-13.184,-27.832,-25.391,0.000
1714027061.011,-21.484,-16.602,-36.621,-23.438,0.000
1714027061.015,-20.020,-19.043,-24.414,-15.625,0.000
1714027061.019,-21.484,-19.531,-20.508,-21.973,0.000
1714027061.023,-31.250,-23.438,-33.203,-30.762,0.000
1714027061.026,-29.297,-22.461,-30.273,-31.250,0.000
1714027061.030,-22.949,-24.414,-25.879,-22.461,0.000
1714027061.034,-17.578,-25.391,-20.020,-10.742,0.000
1714027061.038,-21.484,-20.508,-23.438,-15.625,0.000
1714027061.042,-25.391,-15.137,-35.645,-23.926,0.000
1714027061.046,-28.320,-19.043,-24.902,-23.926,0.000
1714027061.050,-30.273,-24.902,-18.555,-21.484,0.000
1714027061.054,-38.574,-21.484,-27.344,-25.391,0.000
1714027061.058,-40.527,-22.949,-35.156,-25.879,0.000
1714027061.062,-41.992,-25.879,-33.691,-31.738,0.000
1714027061.066,-37.598,-20.996,-26.367,-29.785,0.000
1714027061.070,-28.809,-20.996,-23.438,-18.555,0.000
1714027061.073,-30.273,-23.926,-20.020,-21.973,0.000
1714027061.077,-29.297,-21.484,-14.160,-20.996,0.000
1714027061.081,-27.344,-28.809,-21.484,-18.555,0.000
1714027061.085,-29.785,-38.086,-33.691,-20.020,0.000
1714027061.089,-35.156,-37.109,-28.809,-28.320,0.000
1714027061.093,-40.039,-35.156,-29.297,-40.039,0.000
1714027061.097,-39.551,-40.039,-28.809,-40.039,0.000
1714027061.101,-34.180,-36.133,-26.855,-32.227,0.000
1714027061.105,-27.344,-24.414,-28.809,-29.297,0.000
1714027061.109,-27.832,-23.438,-30.762,-35.156,0.000
1714027061.112,-37.109,-30.762,-30.273,-37.598,0.000
1714027061.116,-33.691,-37.598,-32.227,-23.438,0.000
1714027061.120,-27.344,-35.156,-32.227,-26.855,0.000
1714027061.124,-28.809,-27.832,-30.762,-38.086,0.000
1714027061.128,-28.809,-25.391,-32.715,-30.273,0.000
1714027061.132,-27.344,-21.484,-27.832,-20.020,0.000
1714027061.136,-23.438,-19.531,-23.438,-15.625,0.000
1714027061.140,-21.973,-17.578,-24.414,-23.438,0.000
1714027061.144,-25.879,-20.508,-28.320,-25.879,0.000
1714027061.148,-26.855,-24.902,-31.250,-14.648,0.000
1714027061.152,-22.461,-29.297,-26.367,-13.184,0.000
1714027061.155,-24.414,-29.297,-29.297,-21.973,0.000
1714027061.159,-24.902,-21.973,-33.691,-27.344,0.000
1714027061.163,-21.484,-20.020,-29.785,-24.414,0.000
1714027061.167,-23.926,-28.809,-30.762,-22.949,0.000
1714027061.171,-20.508,-24.414,-34.668,-20.020,0.000
1714027061.175,-19.043,-15.137,-31.250,-20.020,0.000
1714027061.179,-20.508,-21.973,-26.367,-29.297,0.000
1714027061.183,-16.113,-23.926,-26.855,-33.203,0.000
1714027061.187,-12.207,-20.508,-27.344,-27.832,0.000
1714027061.191,-17.578,-25.391,-35.645,-28.320,0.000
1714027061.195,-24.414,-27.344,-43.945,-32.715,0.000
1714027061.198,-28.809,-28.320,-30.273,-26.855,0.000
1714027061.202,-25.391,-34.180,-25.391,-19.043,0.000
1714027061.206,-21.973,-32.715,-22.461,-19.043,0.000
1714027061.210,-24.902,-22.949,-19.043,-22.461,0.000
1714027061.214,-22.461,-19.043,-24.902,-18.555,0.000
1714027061.218,-23.438,-22.461,-32.227,-18.555,0.000
1714027061.222,-28.320,-21.973,-33.203,-30.273,0.000
1714027061.226,-30.762,-20.508,-30.762,-38.574,0.000
1714027061.230,-37.109,-21.973,-28.809,-36.133,0.000
1714027061.234,-36.621,-30.273,-24.902,-29.297,0.000
1714027061.237,-33.691,-34.668,-21.484,-30.762,0.000
1714027061.241,-32.715,-31.738,-24.414,-32.227,0.000
1714027061.245,-26.855,-24.902,-33.203,-24.414,0.000
1714027061.249,-22.461,-25.879,-28.320,-24.902,0.000
1714027061.253,-25.879,-29.785,-23.926,-26.367,0.000
1714027061.257,-31.250,-24.902,-37.109,-31.250,0.000
1714027061.261,-31.250,-27.344,-42.969,-32.715,0.000
1714027061.265,-30.273,-27.832,-32.715,-31.738,0.000
1714027061.269,-28.809,-25.391,-31.250,-29.785,0.000
1714027061.273,-24.902,-23.926,-32.715,-21.973,0.000
1714027061.277,-23.926,-19.043,-23.926,-21.484,0.000
1714027061.280,-24.414,-19.531,-21.973,-15.625,0.000
1714027061.284,-23.438,-23.926,-23.438,-17.578,0.000
1714027061.288,-26.367,-23.438,-24.414,-29.785,0.000
1714027061.292,-27.832,-22.949,-26.855,-38.086,0.000
1714027061.296,-29.297,-27.832,-29.297,-32.227,0.000
1714027061.300,-33.203,-25.879,-22.949,-20.020,0.000
1714027061.304,-29.297,-16.602,-19.043,-23.438,0.000
1714027061.308,-26.855,-12.695,-20.508,-27.832,0.000
1714027061.312,-29.297,-21.484,-23.438,-26.855,0.000
1714027061.316,-30.273,-26.367,-31.250,-22.461,0.000
1714027061.320,-27.832,-18.066,-30.273,-20.508,0.000
1714027061.323,-24.414,-19.531,-37.109,-24.414,0.000
1714027061.327,-27.344,-27.344,-33.203,-25.391,0.000
1714027061.331,-32.715,-27.344,-21.484,-18.066,0.000
1714027061.335,-33.203,-24.902,-21.973,-10.254,0.000
1714027061.339,-29.297,-32.715,-16.113,-12.207,0.000
1714027061.343,-31.738,-36.133,-20.020,-17.578,0.000
1714027061.347,-37.109,-31.738,-28.320,-22.949,0.000
1714027061.351,-31.250,-32.227,-27.344,-21.973,0.000
1714027061.355,-25.879,-26.367,-28.320,-17.578,0.000
1714027061.359,-27.832,-26.855,-31.738,-23.926,0.000
1714027061.363,-26.855,-30.762,-29.297,-21.973,0.000
1714027061.366,-23.926,-28.809,-23.438,-12.695,0.000
1714027061.370,-26.367,-33.203,-31.250,-19.043,0.000
1714027061.374,-30.762,-35.156,-37.598,-28.320,0.000
1714027061.378,-30.273,-32.715,-32.227,-29.785,0.000
1714027061.382,-24.902,-35.156,-32.715,-31.250,0.000
1714027061.386,-19.531,-41.016,-33.691,-27.832,0.000
1714027061.390,-15.625,-28.809,-31.250,-26.367,0.000
1714027061.394,-12.207,-19.531,-22.949,-34.668,0.000
1714027061.398,-9.766,-24.414,-21.973,-23.438,0.000
1714027061.402,-9.766,-26.367,-26.855,-16.602,0.000
1714027061.405,-20.996,-31.250,-31.250,-30.762,0.000
1714027061.409,-30.762,-29.785,-31.250,-29.297,0.000
1714027061.413,-36.133,-30.762,-26.855,-25.391,0.000
1714027061.417,-36.133,-36.133,-31.250,-26.855,0.000
1714027061.421,-36.133,-34.668,-35.645,-26.855,0.000
1714027061.425,-38.574,-30.273,-27.344,-28.320,0.000
1714027061.429,-37.109,-30.762,-23.926,-30.762,0.000
1714027061.433,-36.133,-25.879,-31.250,-25.391,0.000
1714027061.437,-40.527,-27.344,-26.855,-32.227,0.000
1714027061.441,-45.410,-30.762,-31.738,-42.480,0.000
1714027061.445,-45.898,-26.855,-37.109,-37.598,0.000
