timestamps,TP9,AF7,AF8,TP10,Right AUX
1714023330.996,-30.762,-63.965,-62.988,-44.922,0.000
1714023331.000,-29.297,-66.895,-71.289,-51.270,0.000
1714023331.004,-33.691,-68.359,-75.684,-51.758,0.000
1714023331.008,-31.250,-65.918,-71.289,-44.434,0.000
1714023331.012,-27.344,-66.406,-61.523,-35.645,0.000
1714023331.016,-22.461,-68.359,-62.500,-41.504,0.000
1714023331.020,-25.391,-71.289,-65.918,-47.363,0.000
1714023331.024,-30.273,-68.848,-57.617,-45.410,0.000
1714023331.028,-27.832,-64.453,-57.129,-34.668,0.000
1714023331.032,-26.367,-62.012,-69.824,-39.551,0.000
1714023331.036,-26.367,-58.594,-72.754,-49.805,0.000
1714023331.039,-32.227,-65.430,-67.383,-49.805,0.000
1714023331.043,-32.227,-68.848,-65.430,-40.527,0.000
1714023331.047,-24.902,-67.383,-62.012,-37.598,0.000
1714023331.051,-24.902,-60.547,-52.246,-46.875,0.000
1714023331.055,-22.461,-55.664,-54.199,-48.340,0.000
1714023331.059,-20.996,-61.523,-70.801,-38.086,0.000
1714023331.063,-26.855,-77.637,-78.125,-38.086,0.000
1714023331.067,-28.809,-78.613,-71.777,-46.875,0.000
1714023331.071,-26.855,-55.664,-68.848,-50.781,0.000
1714023331.075,-23.438,-54.199,-66.895,-45.410,0.000
1714023331.078,-24.902,-67.871,-69.336,-35.156,0.000
1714023331.082,-30.762,-66.406,-62.500,-44.922,0.000
1714023331.086,-34.180,-63.477,-57.129,-56.152,0.000
1714023331.090,-33.203,-67.383,-64.453,-53.223,0.000
1714023331.094,-29.785,-76.172,-64.941,-39.551,0.000
1714023331.098,-27.832,-80.566,-63.965,-44.434,0.000
1714023331.102,-26.855,-77.637,-72.754,-50.293,0.000
1714023331.106,-35.645,-77.148,-80.566,-48.340,0.000
1714023331.110,-46.387,-70.312,-77.637,-47.363,0.000
1714023331.114,-41.504,-62.988,-65.430,-43.945,0.000
1714023331.118,-37.109,-60.059,-67.383,-49.805,0.000
1714023331.121,-39.551,-65.918,-74.707,-49.805,0.000
1714023331.125,-36.133,-75.684,-62.500,-34.668,0.000
1714023331.129,-29.297,-70.801,-56.641,-30.273,0.000
1714023331.133,-26.367,-62.012,-66.895,-38.574,0.000
1714023331.137,-28.320,-65.918,-79.102,-40.527,0.000
1714023331.141,-32.227,-64.453,-74.219,-33.203,0.000
1714023331.145,-37.109,-69.336,-58.105,-28.320,0.000
1714023331.149,-39.062,-70.801,-62.500,-41.992,0.000
1714023331.153,-42.969,-67.871,-70.312,-58.594,0.000
1714023331.157,-45.410,-70.312,-63.477,-46.387,0.000
1714023331.161,-37.109,-59.082,-68.848,-33.691,0.000
1714023331.164,-32.715,-57.617,-74.219,-34.180,0.000
1714023331.168,-38.086,-64.941,-66.406,-39.062,0.000
1714023331.172,-41.504,-60.059,-55.176,-36.621,0.000
1714023331.176,-41.504,-60.547,-57.617,-32.227,0.000
1714023331.180,-45.410,-60.059,-57.617,-42.969,0.000
1714023331.184,-40.039,-61.035,-56.152,-50.781,0.000
1714023331.188,-40.039,-62.500,-61.523,-50.781,0.000
1714023331.192,-45.410,-66.895,-65.430,-47.363,0.000
1714023331.196,-40.527,-69.336,-62.500,-41.992,0.000
1714023331.200,-51.758,-65.430,-63.477,-61.035,0.000
1714023331.203,-62.012,-65.918,-67.383,-75.195,0.000
1714023331.207,-61.035,-72.266,-57.129,-59.082,0.000
1714023331.211,-66.895,-71.777,-52.246,-54.199,0.000
1714023331.215,-78.125,-69.824,-56.641,-76.660,0.000
1714023331.219,-83.008,-70.801,-49.805,-87.891,0.000
1714023331.223,-82.031,-79.590,-48.828,-83.496,0.000
1714023331.227,-94.238,-76.660,-47.363,-87.402,0.000
1714023331.231,-102.051,-72.754,-36.621,-93.750,0.000
1714023331.235,-96.191,-76.660,-34.180,-93.750,0.000
1714023331.239,-103.516,-66.895,-43.457,-106.445,0.000
1714023331.243,-111.816,-68.848,-37.109,-113.770,0.000
1714023331.246,-110.840,-68.359,-27.832,-105.957,0.000
1714023331.250,-115.723,-66.895,-45.898,-109.863,0.000
1714023331.254,-116.699,-70.801,-57.129,-122.559,0.000
1714023331.258,-112.305,-75.195,-54.688,-111.328,0.000
1714023331.262,-108.398,-72.754,-41.504,-101.074,0.000
1714023331.266,-105.957,-68.848,-31.738,-113.770,0.000
1714023331.270,-120.605,-68.848,-36.133,-131.836,0.000
1714023331.274,-126.465,-62.988,-38.086,-133.301,0.000
1714023331.278,-116.211,-69.824,-32.227,-122.559,0.000
1714023331.282,-103.516,-73.242,-32.715,-114.258,0.000
1714023331.286,-101.562,-70.801,-41.016,-115.723,0.000
1714023331.289,-104.004,-65.918,-36.621,-119.141,0.000
1714023331.293,-113.281,-62.988,-31.250,-118.164,0.000
1714023331.297,-119.629,-61.523,-29.785,-122.070,0.000
1714023331.301,-102.051,-68.848,-31.250,-112.793,0.000
1714023331.305,-96.191,-75.195,-30.273,-104.004,0.000
1714023331.309,-99.609,-60.059,-14.160,-104.492,0.000
1714023331.313,-101.562,-56.152,-20.508,-104.004,0.000
1714023331.317,-106.934,-69.336,-33.691,-118.164,0.000
1714023331.321,-104.004,-65.918,-37.598,-110.840,0.000
1714023331.325,-101.562,-65.918,-35.645,-92.285,0.000
1714023331.328,-98.633,-76.660,-38.086,-95.703,0.000
1714023331.332,-98.633,-73.242,-48.828,-102.539,0.000
1714023331.336,-106.445,-67.871,-40.039,-110.840,0.000
1714023331.340,-115.234,-68.359,-30.273,-115.723,0.000
1714023331.344,-113.281,-69.336,-35.645,-106.445,0.000
1714023331.348,-104.980,-72.754,-34.180,-93.262,0.000
1714023331.352,-105.957,-68.848,-30.762,-106.445,0.000
1714023331.356,-112.793,-64.453,-28.809,-118.164,0.000
1714023331.360,-99.121,-63.477,-28.809,-95.703,0.000
1714023331.364,-97.168,-73.730,-37.109,-97.168,0.000
1714023331.368,-112.793,-84.961,-35.156,-117.188,0.000
1714023331.371,-112.793,-81.543,-28.320,-109.863,0.000
