timestamps,TP9,AF7,AF8,TP10,Right AUX
1714025634.229,-138.672,-29.785,30.273,-133.301,0.000
1714025634.233,-136.230,-34.668,35.645,-130.371,0.000
1714025634.237,-141.113,-32.715,44.922,-128.906,0.000
1714025634.241,-138.672,-26.855,47.852,-122.559,0.000
1714025634.245,-117.676,-32.715,49.316,-108.887,0.000
1714025634.249,-121.582,-44.434,40.039,-107.910,0.000
1714025634.253,-122.559,-43.457,29.785,-103.516,0.000
1714025634.257,-105.957,-42.480,30.273,-92.285,0.000
1714025634.261,-93.262,-42.969,32.227,-85.449,0.000
1714025634.265,-81.055,-42.969,20.508,-73.730,0.000
1714025634.269,-71.777,-44.922,18.555,-65.918,0.000
1714025634.272,-66.406,-41.016,18.555,-62.500,0.000
1714025634.278,-53.711,-39.062,14.648,-48.828,0.000
1714025634.282,-39.062,-36.621,10.742,-39.551,0.000
1714025634.286,-33.691,-35.156,-1.465,-39.062,0.000
1714025634.290,-30.762,-37.598,-21.484,-39.062,0.000
1714025634.294,-26.855,-43.945,-24.902,-34.668,0.000
1714025634.298,-20.020,-44.922,-20.020,-23.926,0.000
1714025634.301,-10.742,-41.016,-23.926,-15.137,0.000
1714025634.305,-10.742,-38.574,-21.484,-15.137,0.000
1714025634.309,-10.742,-38.574,-28.320,-9.277,0.000
1714025634.313,-6.348,-40.527,-35.645,2.441,0.000
1714025634.317,-1.953,-41.992,-31.250,-0.488,0.000
1714025634.321,-1.465,-45.410,-34.668,-5.371,0.000
1714025634.326,1.465,-41.016,-40.039,3.418,0.000
1714025634.330,5.859,-36.133,-38.086,7.324,0.000
1714025634.333,2.441,-39.062,-41.016,1.465,0.000
1714025634.337,-0.488,-40.527,-46.875,3.418,0.000
1714025634.341,2.930,-35.645,-44.434,8.301,0.000
1714025634.345,0.977,-32.715,-43.945,3.906,0.000
1714025634.349,0.488,-33.691,-50.293,0.000,0.000
1714025634.353,3.906,-31.250,-50.293,0.977,0.000
1714025634.357,4.883,-30.762,-47.852,8.301,0.000
1714025634.361,4.883,-30.273,-47.363,3.906,0.000
1714025634.365,6.836,-23.438,-41.992,-1.953,0.000
1714025634.369,6.836,-22.949,-45.898,2.930,0.000
1714025634.372,3.906,-24.902,-54.688,3.906,0.000
1714025634.376,4.395,-23.438,-48.828,0.977,0.000
1714025634.380,6.348,-25.879,-46.875,-0.488,0.000
1714025634.384,4.883,-24.414,-47.852,0.977,0.000
1714025634.388,10.742,-22.461,-46.875,0.977,0.000
1714025634.392,21.484,-18.066,-45.898,-3.906,0.000
1714025634.396,21.973,-11.230,-42.969,-2.930,0.000
1714025634.400,22.461,-16.602,-54.199,1.465,0.000
1714025634.404,28.320,-21.484,-60.059,3.418,0.000
1714025634.408,34.668,-14.160,-47.363,5.859,0.000
1714025634.411,31.738,-12.207,-39.551,9.277,0.000
1714025634.415,20.020,-18.555,-38.086,13.672,0.000
1714025634.419,4.395,-23.438,-47.852,2.930,0.000
1714025634.422,-5.859,-25.879,-51.758,-8.301,0.000
1714025634.426,-7.324,-28.809,-48.340,-4.883,0.000
1714025634.430,-9.277,-29.785,-42.969,0.000,0.000
1714025634.434,-8.789,-25.391,-34.668,3.418,0.000
1714025634.438,-6.836,-22.949,-37.109,6.348,0.000
1714025634.442,-4.883,-26.855,-41.504,4.883,0.000
1714025634.446,-3.418,-24.902,-44.922,4.883,0.000
1714025634.450,-13.672,-20.020,-46.387,-0.488,0.000
1714025634.454,-14.160,-28.320,-43.457,-4.883,0.000
1714025634.458,-15.137,-33.691,-38.086,-3.906,0.000
1714025634.461,-18.555,-23.926,-34.668,-6.836,0.000
1714025634.464,-20.508,-22.949,-40.527,-7.812,0.000
1714025634.468,-16.602,-21.484,-37.109,-4.395,0.000
1714025634.472,-14.160,-23.438,-35.645,-9.766,0.000
1714025634.476,-19.531,-26.855,-44.434,-26.367,0.000
1714025634.480,-13.672,-23.438,-41.504,-22.949,0.000
1714025634.484,-7.324,-24.414,-35.645,-9.766,0.000
1714025634.488,-3.906,-24.414,-30.273,-7.812,0.000
1714025634.492,-7.812,-30.273,-27.344,-11.230,0.000
1714025634.496,-9.766,-24.414,-24.902,-7.812,0.000
1714025634.500,-0.977,-13.184,-23.926,-4.395,0.000
