timestamps,TP9,AF7,AF8,TP10,Right AUX
1714027779.020,7.812,-11.719,-31.738,4.395,0.000
1714027779.023,3.906,-16.602,-34.180,-1.953,0.000
1714027779.027,1.465,-21.973,-35.645,-6.348,0.000
1714027779.031,5.859,-20.996,-35.156,-3.906,0.000
1714027779.035,10.742,-19.043,-33.691,0.000,0.000
1714027779.039,12.207,-20.996,-34.668,2.441,0.000
1714027779.043,9.277,-22.949,-36.133,5.371,0.000
1714027779.047,7.324,-25.879,-36.133,13.184,0.000
1714027779.051,7.324,-27.344,-36.133,14.160,0.000
1714027779.055,2.930,-25.879,-36.133,2.930,0.000
1714027779.059,3.906,-26.367,-37.109,4.395,0.000
1714027779.063,3.906,-31.250,-38.086,10.742,0.000
1714027779.066,-1.465,-27.344,-34.180,8.789,0.000
1714027779.070,-3.906,-28.320,-34.180,2.441,0.000
1714027779.074,-9.277,-35.156,-37.598,-0.488,0.000
1714027779.078,-12.695,-39.062,-42.480,-2.930,0.000
1714027779.082,-10.742,-35.645,-47.363,-11.719,0.000
1714027779.086,-7.324,-30.762,-45.898,-15.625,0.000
1714027779.090,-7.324,-28.809,-38.574,-9.277,0.000
1714027779.094,-13.184,-26.855,-39.551,-5.371,0.000
1714027779.098,-10.254,-27.832,-38.574,-9.766,0.000
1714027779.101,-10.254,-30.273,-33.691,-13.672,0.000
1714027779.105,-11.719,-33.203,-37.598,-15.137,0.000
1714027779.109,-12.695,-33.691,-37.109,-12.695,0.000
1714027779.113,-13.184,-32.227,-29.297,-7.324,0.000
1714027779.117,-13.672,-31.738,-30.762,-12.695,0.000
1714027779.121,-22.461,-30.273,-37.109,-23.438,0.000
1714027779.125,-26.855,-29.785,-39.062,-20.996,0.000
1714027779.129,-21.484,-30.273,-41.016,-17.578,0.000
1714027779.133,-8.301,-26.855,-33.203,-18.555,0.000
1714027779.136,-4.395,-24.414,-31.738,-10.254,0.000
1714027779.140,-5.371,-23.438,-29.785,-6.348,0.000
1714027779.144,-9.766,-23.438,-20.996,-5.371,0.000
1714027779.148,-13.184,-24.414,-24.902,-4.883,0.000
1714027779.152,-14.648,-26.367,-24.902,-11.230,0.000
1714027779.156,-19.043,-27.832,-25.391,-21.484,0.000
1714027779.160,-21.484,-28.809,-30.273,-25.879,0.000
1714027779.164,-18.066,-29.297,-32.227,-22.461,0.000
1714027779.167,-15.625,-27.832,-32.715,-19.531,0.000
1714027779.171,-12.207,-25.879,-26.367,-17.090,0.000
1714027779.175,-13.184,-25.879,-29.297,-11.230,0.000
1714027779.179,-14.648,-23.926,-29.297,-9.277,0.000
1714027779.183,-15.625,-26.367,-21.973,-7.812,0.000
1714027779.187,-20.020,-31.738,-27.344,-21.484,0.000
1714027779.191,-20.996,-30.762,-32.715,-33.691,0.000
1714027779.195,-20.996,-32.715,-37.598,-26.367,0.000
1714027779.199,-23.926,-36.133,-44.434,-20.020,0.000
