timestamps,TP9,AF7,AF8,TP10,Right AUX
1714026851.355,-24.414,-27.832,-21.973,-20.020,0.000
1714026851.359,-27.832,-31.250,-31.738,-25.879,0.000
1714026851.362,-30.762,-31.738,-35.645,-26.367,0.000
1714026851.366,-25.879,-16.602,-33.203,-20.508,0.000
1714026851.370,-24.902,-14.160,-28.320,-25.879,0.000
1714026851.374,-28.320,-24.902,-30.273,-26.367,0.000
1714026851.378,-21.973,-23.438,-36.133,-14.648,0.000
1714026851.382,-21.484,-18.555,-24.414,-19.531,0.000
1714026851.386,-23.926,-23.926,-22.949,-24.902,0.000
1714026851.390,-20.996,-28.320,-35.156,-26.367,0.000
1714026851.394,-15.625,-27.344,-29.297,-25.391,0.000
1714026851.398,-18.066,-29.297,-27.344,-18.066,0.000
1714026851.402,-23.438,-23.926,-35.645,-17.578,0.000
1714026851.405,-23.438,-16.113,-33.203,-21.973,0.000
1714026851.409,-20.996,-23.926,-26.855,-19.043,0.000
1714026851.413,-18.555,-26.367,-24.902,-14.648,0.000
1714026851.417,-21.484,-27.344,-33.203,-21.484,0.000
1714026851.421,-23.438,-34.668,-32.715,-22.949,0.000
1714026851.425,-20.508,-27.832,-30.273,-20.996,0.000
1714026851.429,-22.461,-24.902,-30.762,-14.648,0.000
1714026851.433,-25.879,-22.949,-28.320,-11.230,0.000
1714026851.437,-24.414,-20.508,-32.227,-21.484,0.000
1714026851.441,-23.438,-25.391,-34.180,-25.879,0.000
1714026851.444,-26.855,-31.250,-26.367,-21.484,0.000
1714026851.448,-28.320,-32.715,-23.926,-16.602,0.000
1714026851.452,-33.203,-31.250,-30.762,-21.484,0.000
1714026851.456,-35.645,-29.785,-28.320,-26.855,0.000
1714026851.460,-28.809,-30.762,-27.832,-23.926,0.000
1714026851.464,-25.879,-30.762,-32.715,-24.902,0.000
1714026851.468,-30.762,-34.180,-34.180,-30.273,0.000
1714026851.472,-28.320,-33.691,-31.738,-32.227,0.000
1714026851.476,-25.391,-26.855,-27.344,-26.367,0.000
1714026851.480,-29.297,-27.344,-23.926,-24.414,0.000
1714026851.484,-32.227,-39.062,-31.250,-24.414,0.000
1714026851.487,-33.691,-33.691,-32.227,-25.879,0.000
