timestamps,TP9,AF7,AF8,TP10,Right AUX
1714028217.328,-34.180,-27.832,-19.043,-31.250,0.000
1714028217.332,-21.484,-24.902,-17.090,-19.043,0.000
1714028217.336,-18.066,-24.414,-18.555,-19.531,0.000
1714028217.340,-25.391,-27.344,-20.996,-25.391,0.000
1714028217.344,-24.414,-22.949,-28.809,-27.344,0.000
1714028217.347,-22.461,-24.414,-29.785,-19.043,0.000
1714028217.351,-25.391,-26.367,-22.949,-18.066,0.000
1714028217.355,-25.879,-24.414,-26.367,-25.879,0.000
1714028217.359,-19.531,-20.996,-29.785,-15.625,0.000
1714028217.363,-20.508,-24.902,-23.926,-11.719,0.000
1714028217.367,-20.996,-32.715,-16.602,-15.137,0.000
1714028217.371,-18.555,-32.227,-22.949,-12.207,0.000
1714028217.371,-18.555,-32.227,-22.949,-12.207,0.000
1714028217.375,-29.785,-33.203,-28.320,-24.902,0.000
1714028217.379,-38.086,-34.668,-29.785,-34.180,0.000
1714028217.383,-30.762,-29.785,-32.227,-25.391,0.000
1714028217.387,-30.762,-29.297,-29.297,-27.344,0.000
1714028217.390,-28.320,-29.297,-28.320,-28.320,0.000
1714028217.394,-24.902,-26.855,-29.785,-20.020,0.000
1714028217.398,-26.367,-28.320,-28.809,-13.672,0.000
1714028217.402,-29.297,-25.879,-31.250,-13.184,0.000
1714028217.406,-31.250,-28.320,-28.320,-20.508,0.000
1714028217.410,-32.715,-26.367,-25.391,-38.086,0.000
1714028217.414,-37.598,-24.414,-34.668,-37.598,0.000
1714028217.418,-35.156,-27.832,-37.598,-26.367,0.000
1714028217.422,-27.832,-29.785,-31.250,-27.832,0.000
1714028217.426,-27.344,-22.949,-32.227,-25.879,0.000
1714028217.430,-32.715,-23.438,-29.785,-23.926,0.000
1714028217.433,-30.762,-28.320,-23.926,-20.508,0.000
1714028217.437,-30.273,-27.344,-25.391,-26.367,0.000
1714028217.441,-27.832,-23.926,-25.391,-32.715,0.000
1714028217.445,-28.320,-25.879,-23.926,-28.320,0.000
1714028217.449,-32.227,-32.227,-28.320,-20.020,0.000
1714028217.453,-33.203,-31.738,-26.367,-20.996,0.000
1714028217.457,-38.574,-31.738,-26.367,-40.039,0.000
1714028217.461,-23.438,-26.855,-32.715,-30.273,0.000
1714028217.465,-6.348,-26.367,-29.297,-3.906,0.000
1714028217.469,-30.762,-32.715,-33.203,-19.043,0.000
1714028217.472,-51.270,-28.809,-32.715,-39.551,0.000
1714028217.476,-39.551,-27.832,-30.762,-34.668,0.000
1714028217.480,-35.156,-34.180,-33.691,-26.367,0.000
1714028217.484,-43.457,-34.668,-33.691,-28.809,0.000
