timestamps,TP9,AF7,AF8,TP10,Right AUX
1713985909.448,-27.832,-33.203,-29.785,-273.926,0.000
1713985909.452,-24.414,-29.785,-28.320,-264.648,0.000
1713985909.456,-24.902,-27.344,-35.156,-267.578,0.000
1713985909.460,-27.832,-27.344,-28.809,-273.438,0.000
1713985909.464,-28.809,-34.668,-23.926,-275.391,0.000
1713985909.468,-27.832,-36.621,-20.508,-257.812,0.000
1713985909.472,-32.715,-29.785,-29.297,-261.719,0.000
1713985909.475,-31.738,-23.926,-36.621,-272.461,0.000
1713985909.479,-34.668,-23.926,-29.785,-265.137,0.000
1713985909.483,-24.414,-23.438,-22.949,-247.559,0.000
1713985909.487,-20.508,-26.367,-30.273,-234.863,0.000
1713985909.491,-29.785,-29.297,-34.180,-257.324,0.000
1713985909.496,-31.738,-25.879,-25.879,-270.996,0.000
1713985909.500,-31.250,-38.086,-14.160,-265.137,0.000
1713985909.504,-31.250,-46.387,-8.789,-261.719,0.000
1713985909.507,-28.809,-44.434,-18.066,-270.996,0.000
1713985909.511,-32.227,-37.109,-26.855,-277.344,0.000
1713985909.515,-35.645,-33.203,-34.668,-273.926,0.000
1713985909.519,-37.598,-34.180,-41.016,-261.230,0.000
1713985909.523,-41.016,-29.785,-31.250,-261.719,0.000
1713985909.527,-38.574,-20.508,-20.508,-278.320,0.000
1713985909.531,-27.832,-19.531,-12.207,-260.254,0.000
1713985909.535,-30.762,-31.250,-0.488,-248.047,0.000
1713985909.539,-32.715,-44.434,-9.277,-252.441,0.000
1713985909.543,-34.180,-35.645,-24.902,-247.070,0.000
1713985909.547,-37.598,-17.090,-31.250,-251.465,0.000
1713985909.551,-35.645,-28.320,-32.227,-255.859,0.000
1713985909.555,-38.086,-38.086,-30.273,-254.395,0.000
1713985909.559,-30.273,-36.133,-30.762,-252.930,0.000
1713985909.563,-19.531,-27.832,-11.230,-248.535,0.000
1713985909.566,-28.320,-24.414,-7.812,-241.699,0.000
1713985909.570,-27.344,-30.762,-29.297,-249.023,0.000
1713985909.574,-20.508,-23.438,-35.645,-260.254,0.000
1713985909.578,-19.043,-16.602,-30.273,-272.461,0.000
1713985909.582,-7.324,-19.531,-25.879,-266.602,0.000
1713985909.586,-2.930,-17.578,-22.949,-237.305,0.000
1713985909.590,3.418,-26.367,-23.926,-219.727,0.000
1713985909.594,-9.277,-40.039,-21.973,-227.051,0.000
1713985909.598,-30.273,-27.832,-23.926,-257.324,0.000
1713985909.602,-35.645,-24.414,-35.156,-270.508,0.000
1713985909.606,-34.668,-35.156,-37.109,-273.926,0.000
1713985909.610,-29.785,-18.555,-33.691,-293.945,0.000
1713985909.614,-31.250,-18.555,-30.273,-304.199,0.000
1713985909.617,-30.762,-34.668,-30.273,-284.180,0.000
1713985909.621,-23.438,-30.273,-22.461,-273.926,0.000
1713985909.625,-20.020,-16.113,-8.301,-273.438,0.000
1713985909.629,-30.762,-20.508,-5.859,-277.344,0.000
1713985909.633,-32.227,-33.691,-11.719,-278.809,0.000
1713985909.637,-29.785,-20.508,-24.902,-269.531,0.000
1713985909.641,-31.738,-6.348,-39.062,-273.438,0.000
1713985909.645,-39.551,-17.578,-32.715,-272.949,0.000
1713985909.649,-43.457,-35.645,-19.531,-238.281,0.000
1713985909.653,-36.133,-21.973,-21.973,-195.801,0.000
1713985909.657,-28.320,-12.207,-12.207,-170.898,0.000
1713985909.661,-25.879,-14.648,-5.859,-166.992,0.000
1713985909.664,-29.297,-20.996,-22.949,-150.391,0.000
1713985909.668,-34.180,-23.438,-31.250,-129.395,0.000
1713985909.672,-40.039,-21.484,-32.227,-121.582,0.000
1713985909.676,-28.809,-21.484,-32.715,-109.863,0.000
1713985909.680,-31.250,-12.207,-37.598,-114.258,0.000
1713985909.684,-36.133,-9.277,-31.738,-114.746,0.000
1713985909.688,-19.531,-16.602,-14.160,-101.562,0.000
1713985909.692,-20.508,-32.715,-18.066,-101.562,0.000
1713985909.696,-31.738,-31.738,-36.133,-98.145,0.000
1713985909.699,-27.344,-10.742,-33.691,-108.887,0.000
1713985909.703,-27.344,-14.160,-31.250,-143.555,0.000
1713985909.707,-33.203,-22.949,-35.156,-176.270,0.000
1713985909.711,-27.832,-23.438,-29.785,-196.289,0.000
1713985909.715,-20.020,-29.785,-21.484,-217.285,0.000
1713985909.719,-22.949,-27.832,-27.832,-241.699,0.000
1713985909.723,-23.438,-26.855,-38.574,-246.094,0.000
1713985909.727,-20.020,-20.996,-31.738,-235.352,0.000
1713985909.730,-18.066,-16.113,-37.109,-230.957,0.000
1713985909.734,-13.672,-16.602,-36.133,-204.102,0.000
1713985909.738,-10.254,-18.066,-36.621,-202.148,0.000
1713985909.742,-10.254,-19.043,-31.250,-208.984,0.000
1713985909.746,-17.090,-25.879,-18.066,-203.125,0.000
1713985909.750,-24.414,-38.574,-31.250,-228.027,0.000
1713985909.754,-22.461,-39.551,-53.223,-263.184,0.000
1713985909.758,-19.043,-22.949,-40.039,-265.625,0.000
1713985909.762,-18.066,-20.508,-23.926,-271.973,0.000
1713985909.766,-14.648,-24.902,-40.527,-279.297,0.000
1713985909.769,-17.090,-11.719,-50.293,-271.973,0.000
1713985909.773,-23.926,-18.555,-23.926,-275.879,0.000
1713985909.777,-24.414,-33.203,-12.695,-288.086,0.000
1713985909.781,-31.738,-34.180,-37.598,-288.574,0.000
1713985909.785,-36.133,-33.691,-44.434,-260.742,0.000
1713985909.788,-19.043,-29.297,-23.438,-237.305,0.000
1713985909.792,-16.113,-17.090,-16.602,-244.629,0.000
1713985909.796,-30.273,-14.160,-28.320,-259.277,0.000
1713985909.800,-28.320,-20.508,-28.809,-256.348,0.000
1713985909.804,-22.461,-33.203,-19.043,-255.859,0.000
1713985909.808,-33.203,-34.180,-23.438,-281.738,0.000
1713985909.812,-43.945,-28.320,-34.668,-299.805,0.000
1713985909.816,-41.016,-38.086,-42.480,-290.527,0.000
1713985909.820,-36.621,-39.551,-36.621,-277.344,0.000
1713985909.823,-28.809,-27.832,-26.855,-266.602,0.000
1713985909.827,-31.250,-32.715,-19.531,-255.859,0.000
1713985909.831,-37.109,-34.668,-25.879,-246.094,0.000
1713985909.835,-26.367,-15.625,-36.133,-228.027,0.000
1713985909.839,-28.809,-24.902,-29.297,-228.516,0.000
1713985909.843,-30.762,-40.527,-40.527,-236.816,0.000
1713985909.846,-28.809,-33.203,-41.016,-220.215,0.000
1713985909.850,-33.691,-32.227,-33.203,-228.027,0.000
1713985909.854,-30.273,-29.297,-38.574,-220.703,0.000
1713985909.858,-21.973,-31.250,-26.855,-190.918,0.000
1713985909.862,-27.344,-26.367,-20.020,-191.895,0.000
1713985909.866,-22.949,-15.625,-31.738,-208.984,0.000
1713985909.871,-21.973,-28.809,-35.156,-229.492,0.000
1713985909.875,-27.344,-31.250,-30.273,-238.281,0.000
1713985909.878,-38.086,-21.973,-38.086,-247.559,0.000
1713985909.882,-40.527,-34.668,-38.574,-254.395,0.000
1713985909.886,-29.785,-46.875,-30.762,-259.277,0.000
1713985909.890,-33.203,-41.504,-18.555,-253.906,0.000
1713985909.894,-34.668,-24.902,-14.648,-249.023,0.000
1713985909.898,-36.133,-14.648,-35.156,-247.559,0.000
1713985909.902,-41.992,-24.902,-42.480,-233.887,0.000
1713985909.906,-35.156,-37.109,-42.969,-209.473,0.000
1713985909.910,-33.203,-26.367,-45.898,-208.008,0.000
1713985909.914,-32.227,-20.020,-35.645,-202.637,0.000
1713985909.918,-33.691,-22.461,-16.113,-183.105,0.000
1713985909.922,-41.504,-23.438,-22.461,-195.312,0.000
1713985909.926,-44.434,-25.391,-7.324,-216.309,0.000
1713985909.930,-41.992,-19.043,4.883,-224.609,0.000
1713985909.934,-40.039,-15.625,-21.973,-196.289,0.000
1713985909.938,-39.062,-9.277,-26.367,-182.617,0.000
1713985909.941,-57.617,-7.324,-25.879,-224.609,0.000
1713985909.945,-70.312,-13.184,-20.996,-257.324,0.000
1713985909.949,-81.055,-16.602,-5.371,-259.277,0.000
1713985909.953,-104.980,-15.625,9.277,-253.418,0.000
1713985909.957,-120.605,-4.883,7.812,-307.129,0.000
1713985909.961,-145.508,3.906,13.184,-382.324,0.000
1713985909.965,-173.340,2.930,27.832,-405.762,0.000
1713985909.969,-185.547,13.672,31.250,-419.434,0.000
1713985909.973,-188.965,22.461,35.156,-459.961,0.000
1713985909.977,-195.801,32.715,43.945,-493.164,0.000
1713985909.981,-208.496,40.527,55.176,-476.074,0.000
1713985909.985,-210.938,41.504,53.711,-443.359,0.000
1713985909.989,-195.801,38.086,41.992,-382.324,0.000
1713985909.992,-181.152,29.297,45.898,-351.562,0.000
1713985909.996,-179.199,8.789,58.594,-355.469,0.000
1713985910.000,-163.086,6.348,48.828,-333.496,0.000
1713985910.004,-154.297,16.113,25.879,-333.008,0.000
1713985910.008,-150.391,8.301,18.555,-332.520,0.000
1713985910.012,-132.324,-6.836,17.090,-319.336,0.000
1713985910.016,-110.840,-2.441,16.113,-302.246,0.000
1713985910.020,-98.633,19.531,23.926,-276.367,0.000
1713985910.024,-88.867,7.812,24.414,-265.625,0.000
1713985910.028,-65.918,-14.648,15.137,-271.484,0.000
1713985910.032,-58.105,-35.645,-5.859,-276.367,0.000
1713985910.035,-49.805,-49.805,-12.695,-255.371,0.000
1713985910.039,-36.133,-41.504,-22.461,-206.543,0.000
1713985910.043,-26.855,-42.480,-31.250,-166.992,0.000
1713985910.047,-15.137,-41.016,-28.809,-146.484,0.000
1713985910.051,-11.230,-32.715,-39.062,-100.586,0.000
1713985910.055,-9.766,-27.344,-44.434,-29.785,0.000
1713985910.059,-6.348,-34.668,-41.992,25.879,0.000
1713985910.063,-5.859,-51.270,-43.457,59.082,0.000
1713985910.067,-15.625,-57.617,-53.223,33.691,0.000
1713985910.070,-3.418,-58.105,-61.523,-5.859,0.000
1713985910.074,13.672,-45.898,-60.547,-4.395,0.000
1713985910.078,13.184,-45.410,-58.105,-9.766,0.000
1713985910.082,15.625,-65.430,-63.965,-16.602,0.000
1713985910.086,19.531,-62.012,-57.129,-5.859,0.000
1713985910.090,20.996,-50.293,-59.082,-25.391,0.000
1713985910.094,17.578,-49.805,-64.453,-36.621,0.000
1713985910.098,13.672,-44.922,-55.176,-25.879,0.000
1713985910.102,19.043,-41.504,-59.570,-29.297,0.000
1713985910.105,23.438,-43.457,-65.918,-34.180,0.000
1713985910.109,20.508,-45.898,-67.383,-40.039,0.000
1713985910.113,34.668,-41.992,-59.082,-38.086,0.000
1713985910.117,26.367,-32.715,-60.547,-29.297,0.000
1713985910.121,22.461,-41.992,-72.754,-19.531,0.000
1713985910.125,21.484,-50.293,-83.496,-16.113,0.000
1713985910.129,23.438,-42.969,-73.730,-5.859,0.000
1713985910.133,27.344,-40.527,-60.547,14.648,0.000
1713985910.137,22.461,-34.180,-53.223,-0.488,0.000
1713985910.140,17.578,-35.156,-51.758,-24.414,0.000
1713985910.144,13.672,-35.645,-60.059,-40.039,0.000
1713985910.148,16.602,-23.926,-46.387,-53.223,0.000
1713985910.152,19.043,-17.578,-40.039,-44.434,0.000
1713985910.156,14.648,-27.832,-59.082,-44.922,0.000
