TP9,TP10,AF7,AF8,timestamps,Right AUX
-7.716050021144838e-15,-1.7208456881689926e-15,6.050715484207103e-15,3.3861802251067274e-15,1714026512.954,0
2.9756609383718637,5.029773041656316,-3.6662726345461825,-4.3391613454819975,1714026512.958,0
6.335663286958763,9.288482533445569,-5.636379771133543,-9.987766049270789,1714026512.962,0
9.881417193350005,12.428962286160301,-5.686272257148103,-16.624107222362206,1714026512.966,0
12.85167690974107,14.71008885971878,-5.271221062619343,-22.29054470684051,1714026512.97,0
14.562862859282227,16.749022537910207,-6.287984042835294,-25.023901354357143,1714026512.974,0
15.07251145021894,18.984962253298686,-9.43522702576185,-24.622246677755776,1714026512.978,0
15.220724799135297,21.26833612642199,-13.57220992284601,-22.916851002711272,1714026512.982,0
15.98963624660848,22.955578962324967,-16.646436090359366,-22.29877911857408,1714026512.986,0
17.737987606782006,23.49622683519896,-17.399144566598885,-23.835069875382075,1714026512.99,0
19.984498749113648,23.019190213994328,-16.39188171296336,-26.611807250144615,1714026512.993,0
21.902693862608928,22.33291424925562,-15.476778318046748,-28.758829793817803,1714026512.997,0
23.065181629725636,22.29427061962902,-16.22382928562626,-29.135622963728398,1714026513.0,0
23.76967908539415,23.117830365161208,-18.71812595777218,-28.169383492783183,1714026513.004,0
24.679583297210208,24.290923770750265,-21.725028504857516,-27.245478563102953,1714026513.008,0
26.13307969719596,25.189260410754358,-23.91299714457394,-27.40934296337638,1714026513.012,0
27.732612659047007,25.7256997123218,-24.866413749959612,-28.591898621409204,1714026513.016,0
28.55451870294761,26.341958642393145,-24.987239631605764,-29.90923771373499,1714026513.02,0
27.815426857290166,27.3946418861759,-24.626272486318843,-30.583796257147227,1714026513.024,0
25.45817625941335,28.62899722589239,-23.56401450290385,-30.523158982401895,1714026513.028,0
22.22820120320073,29.331499945190888,-21.483926386483308,-30.07577476190832,1714026513.031,0
19.26063208064592,28.989065443974773,-18.848419699749407,-29.40127782487129,1714026513.035,0
17.50582642299065,27.723035004213646,-17.01547210320023,-28.213389324004062,1714026513.039,0
17.35340532842909,26.067462328820817,-17.197794456984127,-26.22307320026577,1714026513.043,0
18.61333366944906,24.410266747264178,-19.16978401250735,-23.8538164042059,1714026513.046,0
20.739088431701234,22.7677323202416,-21.115119547996162,-22.391701203946674,1714026513.05,0
23.059687964068228,21.146724493086058,-21.02793071251471,-23.17848174463957,1714026513.053,0
24.903109343088627,19.967780180001238,-18.480730261236747,-26.390159261853114,1714026513.057,0
25.695470009176166,19.873607542343176,-15.08792424980258,-30.481153301716773,1714026513.061,0
25.12411205326351,20.994907891399187,-13.173066293255287,-32.945953651407414,1714026513.065,0
23.346858472135644,22.483169226079703,-13.831953319707841,-31.998074378507503,1714026513.069,0
21.092066779347377,23.008151681575093,-16.137364589229747,-27.96285387169273,1714026513.073,0
19.448202577602192,21.913404459964926,-18.13755366304764,-23.224053374519478,1714026513.077,0
19.339651466545945,19.912162545117177,-18.61127067375842,-20.640543337904695,1714026513.081,0
20.952392458128557,18.505341480828733,-17.914278706858298,-21.54345523209899,1714026513.085,0
23.508605647375013,18.55835967614526,-17.265736974044692,-24.801228349475586,1714026513.089,0
25.612318854620398,19.404185321197367,-17.338550916459347,-27.67795325935841,1714026513.091,0
25.99102276689003,19.371842696206652,-17.55001950219553,-27.812845960901143,1714026513.095,0
24.160383858212377,17.304602665599056,-16.67689640490488,-24.78809011890656,1714026513.099,0
20.59997340070069,13.6830765631551,-14.136454773097457,-20.146595190758333,1714026513.103,0
16.38744766272847,10.323729768736031,-10.713428174221505,-15.997749257243,1714026513.106,0
12.607182431943809,8.966983185733053,-8.133975031683061,-13.440190585993802,1714026513.11,0
9.958204704004352,10.040912839941761,-7.900118151452502,-12.098999392493607,1714026513.114,0
8.718117501247582,12.595627946640894,-10.283543760033101,-11.030201687855378,1714026513.118,0
8.861216945856663,15.262475292828276,-14.125356665920965,-9.998335572763978,1714026513.122,0
10.084008325099328,17.208072009608593,-17.465793252760378,-9.826287081947548,1714026513.126,0
11.750483764927264,18.279714374874196,-18.575167159458985,-11.455030980342478,1714026513.13,0
12.996781903952442,18.505784920635875,-16.8573935477402,-14.64517327684811,1714026513.134,0
13.121390445052084,17.767854435395,-13.21190446946607,-17.67734041098101,1714026513.136,0
12.057470275927994,16.072397425479934,-9.614134168799037,-18.515733532608888,1714026513.14,0
10.531519306074115,13.996228736340205,-8.010936003913784,-16.516812038500532,1714026513.144,0
9.660094433986682,12.580078631418989,-9.132578717641875,-13.107594347763799,1714026513.148,0
10.19560566227953,12.550966248985741,-12.035512939502635,-10.71105897176264,1714026513.152,0
11.966474934612064,13.62940514040928,-14.7808661835177,-10.815013891503643,1714026513.155,0
13.927757010794393,14.702072222853312,-15.802246805635061,-12.82758242801265,1714026513.159,0
14.795761280292728,14.764727150249405,-14.89631640512036,-14.66417202542177,1714026513.163,0
13.810727127234289,13.740670237107368,-13.05809823270144,-14.493299131640217,1714026513.167,0
11.147001812842866,12.378621247929864,-11.426678042515412,-12.098945018257314,1714026513.171,0
7.795620616058432,11.365891435223773,-10.354626252927002,-8.806885798355207,1714026513.175,0
